date,tweet_count,neg,neu,pos,nlp_tweet_count,not_polarized,polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,tesla,tsla,stock,market,price,profit,loss,revenue,inflation,interest,bitcoin,dogecoin,crypto,ethereum,spacex,model,cybertruck,starship,buy,sell,arts_&_culture,business_&_entrepreneurs,celebrity_&_pop_culture,diaries_&_daily_life,family,fashion_&_style,film_tv_&_video,fitness_&_health,food_&_dining,gaming,learning_&_educational,music,news_&_social_concern,other_hobbies,relationships,science_&_technology,sports,travel_&_adventure,youth_&_student_life
2015-01-20,0.0063291139240506,0.005157755,0.08509391,0.9097484,0.0,0.0,1.0,0.012946343,0.0066881115,0.009969187,0.028745633,0.04648132,0.014604381,0.88056505,0.49361187,0.55465496,0.4306427,0.3082911,0.50494534,,,,,,,,,,,,,,,,,,,,,0.078439236,0.0074557904,0.011440876,0.6667921,0.0058989353,0.0016785907,0.009052262,0.0009042933,0.0019209763,0.0015750789,0.013237904,0.014006006,0.02374566,0.13237152,0.013738485,0.0047878125,0.002381488,0.0073207044,0.003252415
2015-01-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,0.050632911392405,0.0231623,0.4103893,0.5664484,0.0546875,0.5,0.5,0.0070655067,0.014149187,0.0030625432,0.1944867,0.7313026,0.028431525,0.021501957,0.4965771,0.55007225,0.43408763,0.28671128,0.5237769,,,,,,,,,,,,,,,,,,,,,0.040504273,0.007343758,0.007837834,0.037601743,0.003641791,0.0014240935,0.011829547,0.0016176002,0.0012617768,0.0018437543,0.02251274,0.007452618,0.42577243,0.012973599,0.00270738,0.24629775,0.0036096314,0.15759921,0.00616852
2015-01-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,0.050632911392405,0.34933352,0.4712714,0.17939506,0.0546875,0.75,0.25,0.13779096,0.026302235,0.046450235,0.0032310763,0.5011236,0.011465961,0.27363592,0.45905533,0.5311251,0.49891722,0.35774976,0.49066323,,,,,,,,,,,,,,,,,,,,,0.011728067,0.015895542,0.008423207,0.11540761,0.0017037841,0.001320523,0.011984866,0.0016113718,0.0019631777,0.0029699868,0.024182275,0.010329228,0.38649037,0.09713924,0.0037156532,0.2703926,0.0042591966,0.025621206,0.004862085
2015-01-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,0.0063291139240506,0.0035641822,0.09022204,0.90621376,0.0,0.0,1.0,0.0054562245,0.008391826,0.014855781,0.18789172,0.50528604,0.0050204927,0.27309793,0.5632137,0.56092143,0.40036044,0.25057903,0.5545614,,,,,,,,,,,,,,,,,,,,,0.002257019,0.00022682648,0.0011087527,0.0015108972,0.00021807177,0.00010851508,0.98920935,0.00012532246,0.000101161546,0.0023533578,0.00016474821,0.00049105054,0.00052231195,0.0004695384,0.00016467422,0.00038280527,0.00035185824,0.00014666794,8.719498e-05
2015-01-29,0.0443037974683544,0.10399895,0.5443757,0.35162532,0.0390625,0.8333333333333334,0.1666666666666666,0.032204192,0.06568497,0.014137718,0.008922082,0.7358884,0.0314924,0.11167025,0.534052,0.5428005,0.4392184,0.28906164,0.5335899,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667982,0.029099016,0.005496454,0.24279909,0.0019511259,0.03072168,0.17695816,0.0045233574,0.004556827,0.009425747,0.01826238,0.0054095867,0.013694133,0.054135393,0.0033858772,0.27192926,0.03634786,0.018649051,0.005856817
