asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.5158730158730159,0.0
tesla,change_stockprice,phase2,0.5232558139534884,0.4225352112676056
tesla,change_stockprice,phase3,0.5257731958762887,0.5818181818181818
tesla,change_stockprice,phase4,0.6363636363636364,0.5384615384615384
tesla,change_stockprice,full,0.5236907730673317,0.5441527446300716
tesla,change_volume,phase1,0.5238095238095238,0.6470588235294118
tesla,change_volume,phase2,0.5348837209302325,0.5061728395061729
tesla,change_volume,phase3,0.6701030927835051,0.7090909090909091
tesla,change_volume,phase4,0.696969696969697,0.5833333333333334
tesla,change_volume,full,0.5635910224438903,0.4927536231884058
tesla,change_volatility,phase1,0.46825396825396826,0.0
tesla,change_volatility,phase2,0.5581395348837209,0.5581395348837209
tesla,change_volatility,phase3,0.4845360824742268,0.5
tesla,change_volatility,phase4,0.5151515151515151,0.4666666666666667
tesla,change_volatility,full,0.5511221945137157,0.569377990430622
sp500,change_stockprice,phase1,0.5555555555555556,0.6164383561643836
sp500,change_stockprice,phase2,0.5348837209302325,0.574468085106383
sp500,change_stockprice,phase3,0.5567010309278351,0.6126126126126126
sp500,change_stockprice,phase4,0.48484848484848486,0.6046511627906976
sp500,change_stockprice,full,0.4613466334164589,0.4098360655737705
sp500,change_volume,phase1,0.5238095238095238,0.21052631578947367
sp500,change_volume,phase2,0.627906976744186,0.6363636363636364
sp500,change_volume,phase3,0.5567010309278351,0.24561403508771928
sp500,change_volume,phase4,0.5757575757575758,0.5625
sp500,change_volume,full,0.5785536159600998,0.536986301369863
sp500,change_volatility,phase1,0.5873015873015873,0.5272727272727272
sp500,change_volatility,phase2,0.563953488372093,0.6192893401015228
sp500,change_volatility,phase3,0.5773195876288659,0.6306306306306306
sp500,change_volatility,phase4,0.6363636363636364,0.6470588235294118
sp500,change_volatility,full,0.5561097256857855,0.6322314049586777
nasdaq,change_stockprice,phase1,0.5873015873015873,0.74
nasdaq,change_stockprice,phase2,0.48255813953488375,0.4105960264900662
nasdaq,change_stockprice,phase3,0.5257731958762887,0.6567164179104478
nasdaq,change_stockprice,phase4,0.6060606060606061,0.723404255319149
nasdaq,change_stockprice,full,0.5112219451371571,0.49222797927461137
nasdaq,change_volume,phase1,0.6190476190476191,0.5294117647058824
nasdaq,change_volume,phase2,0.5232558139534884,0.4057971014492754
nasdaq,change_volume,phase3,0.5360824742268041,0.11764705882352941
nasdaq,change_volume,phase4,0.6060606060606061,0.3157894736842105
nasdaq,change_volume,full,0.5610972568578554,0.3178294573643411
nasdaq,change_volatility,phase1,0.6111111111111112,0.7262569832402235
nasdaq,change_volatility,phase2,0.5348837209302325,0.5555555555555556
nasdaq,change_volatility,phase3,0.5876288659793815,0.6
nasdaq,change_volatility,phase4,0.6363636363636364,0.5384615384615384
nasdaq,change_volatility,full,0.5411471321695761,0.6051502145922747
bitcoin,change_stockprice,phase1,0.5714285714285714,0.7272727272727273
bitcoin,change_stockprice,phase2,0.5290697674418605,0.3816793893129771
bitcoin,change_stockprice,phase3,0.5154639175257731,0.25396825396825395
bitcoin,change_stockprice,phase4,0.5454545454545454,0.4
bitcoin,change_stockprice,full,0.5062344139650873,0.175
bitcoin,change_volume,phase1,0.42857142857142855,0.0
bitcoin,change_volume,phase2,0.6395348837209303,0.6836734693877551
bitcoin,change_volume,phase3,0.6804123711340206,0.7256637168141593
bitcoin,change_volume,phase4,0.6060606060606061,0.7450980392156863
bitcoin,change_volume,full,0.6234413965087282,0.7198515769944341
bitcoin,change_volatility,phase1,0.5317460317460317,0.609271523178808
bitcoin,change_volatility,phase2,0.5465116279069767,0.23529411764705882
bitcoin,change_volatility,phase3,0.5670103092783505,0.6111111111111112
bitcoin,change_volatility,phase4,0.5757575757575758,0.6666666666666666
bitcoin,change_volatility,full,0.5062344139650873,0.5217391304347826
