asset,target,phase,val_loss,accuracy,f1_score
tesla,change_stockprice,phase1,0.6311556083314559,0.5806451612903226,0.38095238095238093
tesla,change_stockprice,phase2,0.5835446313671444,0.616,0.45454545454545453
tesla,change_stockprice,phase3,0.621694239286276,0.5734265734265734,0.26506024096385544
tesla,change_stockprice,full,0.601144739875087,0.4302721088435374,0.4947209653092006
tesla,change_volume,phase1,0.5419508529936566,0.5591397849462365,0.4810126582278481
tesla,change_volume,phase2,0.5656312548595926,0.672,0.4225352112676056
tesla,change_volume,phase3,0.6006276813837198,0.6993006993006993,0.29508196721311475
tesla,change_volume,full,0.5877652670498248,0.5969387755102041,0.45265588914549654
tesla,change_volatility,phase1,0.6355398157063652,0.43548387096774194,0.5493562231759657
tesla,change_volatility,phase2,0.624191640511803,0.624,0.4050632911392405
tesla,change_volatility,phase3,0.6071163278359634,0.5874125874125874,0.3516483516483517
tesla,change_volatility,full,0.6061449944972992,0.576530612244898,0.47357293868921774
sp500,change_stockprice,phase1,0.6141538690118229,0.5860215053763441,0.574585635359116
sp500,change_stockprice,phase2,0.6043236320433409,0.632,0.5
sp500,change_stockprice,phase3,0.6664003225473257,0.6013986013986014,0.583941605839416
sp500,change_stockprice,full,0.5761359460927822,0.6241496598639455,0.5287846481876333
sp500,change_volume,phase1,0.6386039520011229,0.6935483870967742,0.5365853658536586
sp500,change_volume,phase2,0.5370689151079758,0.648,0.5217391304347826
sp500,change_volume,phase3,0.5576127377840189,0.6853146853146853,0.08163265306122448
sp500,change_volume,full,0.5575878741564574,0.5578231292517006,0.5112781954887218
sp500,change_volatility,phase1,0.6531655227436739,0.6075268817204301,0.0
sp500,change_volatility,phase2,0.6117670341678287,0.636,0.5603864734299517
sp500,change_volatility,phase3,0.6299930673379165,0.6433566433566433,0.5565217391304348
sp500,change_volatility,full,0.5797008441554176,0.6377551020408163,0.3280757097791798
nasdaq,change_stockprice,phase1,0.6676806141348446,0.489247311827957,0.5991561181434599
nasdaq,change_stockprice,phase2,0.5943079137283823,0.68,0.4805194805194805
nasdaq,change_stockprice,phase3,0.664787219120906,0.6153846153846154,0.367816091954023
nasdaq,change_stockprice,full,0.5757341335217158,0.5272108843537415,0.46946564885496184
nasdaq,change_volume,phase1,0.5730011042426614,0.6720430107526881,0.18666666666666668
nasdaq,change_volume,phase2,0.5584747843120409,0.68,0.5454545454545454
nasdaq,change_volume,phase3,0.6106568047633538,0.6853146853146853,0.3076923076923077
nasdaq,change_volume,full,0.5634291287925508,0.5408163265306123,0.5018450184501845
nasdaq,change_volatility,phase1,0.6286566590561586,0.6021505376344086,0.0
nasdaq,change_volatility,phase2,0.534381012553754,0.624,0.6050420168067226
nasdaq,change_volatility,phase3,0.6297246767924383,0.6083916083916084,0.391304347826087
nasdaq,change_volatility,full,0.6149773145163501,0.5544217687074829,0.5354609929078015
bitcoin,change_stockprice,phase1,0.6675417861517738,0.5591397849462365,0.7172413793103448
bitcoin,change_stockprice,phase2,0.693231085072393,0.44,0.5364238410596026
bitcoin,change_stockprice,phase3,0.695594650048476,0.46853146853146854,0.20833333333333334
bitcoin,change_stockprice,full,0.6976306769582961,0.5170068027210885,0.5328947368421053
bitcoin,change_volume,phase1,0.6808706206433913,0.5053763440860215,0.0
bitcoin,change_volume,phase2,0.627394042585207,0.708,0.6866952789699571
bitcoin,change_volume,phase3,0.5911855881030743,0.5944055944055944,0.4423076923076923
bitcoin,change_volume,full,0.5859171786793956,0.6173469387755102,0.6835443037974683
bitcoin,change_volatility,phase1,0.7026104804347543,0.4946236559139785,0.6618705035971223
bitcoin,change_volatility,phase2,0.6834341183952664,0.504,0.32608695652173914
bitcoin,change_volatility,phase3,0.6954987920247592,0.5664335664335665,0.4745762711864407
bitcoin,change_volatility,full,0.6904330485396915,0.5289115646258503,0.3747178329571106
