asset,target,phase,use_twitter,mse,mae,accuracy,f1
tesla,change_stockprice,phase1,False,14.259523896279285,2.9469698172890477,0.5238095238095238,0.2682926829268293
tesla,change_stockprice,phase2,False,31.922126659503487,4.479237419775102,0.46511627906976744,0.4945054945054945
tesla,change_stockprice,phase3,False,31.035273529225996,4.142853417020944,0.5670103092783505,0.6379310344827587
tesla,change_stockprice,phase4,False,17.661014087484208,3.0009880559236715,0.5151515151515151,0.0
tesla,change_stockprice,full,False,30.686046251532712,4.255262231289356,0.5012468827930174,0.5412844036697247
tesla,change_volume,phase1,False,2371.7435977508344,34.81960571983031,0.6190476190476191,0.4418604651162791
tesla,change_volume,phase2,False,965.7917341551639,23.12406222045768,0.5232558139534884,0.4057971014492754
tesla,change_volume,phase3,False,1493.913516524017,26.16124621324347,0.5773195876288659,0.2545454545454545
tesla,change_volume,phase4,False,2638.777868578087,33.390061597029366,0.5454545454545454,0.0
tesla,change_volume,full,False,1011.066352081942,21.951722730186297,0.5411471321695761,0.39473684210526316
tesla,change_volatility,phase1,False,78.6101008558985,7.092708666290578,0.5714285714285714,0.6896551724137931
tesla,change_volatility,phase2,False,28.67601891338561,3.9812667993936945,0.47093023255813954,0.3973509933774834
tesla,change_volatility,phase3,False,197.4907755566919,11.862618502767123,0.4845360824742268,0.2857142857142857
tesla,change_volatility,phase4,False,60.55646771660303,3.561055094906778,0.5151515151515151,0.0
tesla,change_volatility,full,False,50.2879129106568,3.6990512294974645,0.48877805486284287,0.570230607966457
sp500,change_stockprice,phase1,False,0.7412257470717077,0.5622580147510956,0.5238095238095238,0.6103896103896104
sp500,change_stockprice,phase2,False,4.348267826792672,1.6155404557344006,0.47093023255813954,0.47398843930635837
sp500,change_stockprice,phase3,False,3.603208157691227,1.405325530306916,0.4536082474226804,0.3764705882352941
sp500,change_stockprice,phase4,False,0.5454876702182518,0.5773117621182323,0.5454545454545454,0.5945945945945946
sp500,change_stockprice,full,False,2.0309430987552313,1.0510417304354187,0.47381546134663344,0.41225626740947074
sp500,change_volume,phase1,False,440.39033944563914,15.013856444308269,0.5714285714285714,0.5573770491803278
sp500,change_volume,phase2,False,354.5684925863356,13.627403669102593,0.5290697674418605,0.5573770491803278
sp500,change_volume,phase4,False,435.15847680282616,15.46822038563815,0.5151515151515151,0.68
sp500,change_volume,full,False,348.5601878503947,12.162283802994915,0.513715710723192,0.6123260437375746
sp500,change_volatility,phase1,False,144.40071485424076,8.28185674246578,0.4603174603174603,0.40350877192982454
sp500,change_volatility,phase2,False,25.594426169639213,3.834602031730546,0.5232558139534884,0.4305555555555556
sp500,change_volatility,phase3,False,53.65942847417505,4.474689919635961,0.5567010309278351,0.7074829931972789
sp500,change_volatility,phase4,False,65.3245392053736,4.127071379401693,0.5151515151515151,0.6521739130434783
sp500,change_volatility,full,False,41.996110867754375,4.5499046989339185,0.5635910224438903,0.6902654867256637
nasdaq,change_stockprice,phase1,False,1.3939589523915494,0.8170255948308973,0.5555555555555556,0.6956521739130435
nasdaq,change_stockprice,phase2,False,8.0935960345635,2.188747931759788,0.5174418604651163,0.5561497326203209
nasdaq,change_stockprice,phase3,False,5.1366003124443855,1.5649738933977468,0.5670103092783505,0.7
nasdaq,change_stockprice,phase4,False,1.8452331346969053,1.1084322392601857,0.36363636363636365,0.0
nasdaq,change_stockprice,full,False,5.379933691783359,1.6924224874066267,0.5087281795511222,0.5870020964360587
nasdaq,change_volume,phase1,False,297.38412775644633,12.20050367822368,0.5793650793650794,0.5225225225225225
nasdaq,change_volume,phase2,False,286.7059316528087,12.047505788678347,0.563953488372093,0.5398773006134969
nasdaq,change_volume,phase3,False,10562.170697286561,28.946891464523432,0.5154639175257731,0.04081632653061224
nasdaq,change_volume,phase4,False,29297.107381141064,49.577125027324215,0.5151515151515151,0.6666666666666666
nasdaq,change_volume,full,False,2739.475682829299,16.224029406923755,0.5411471321695761,0.5233160621761658
nasdaq,change_volatility,phase1,False,111.80354004198207,7.574189489363649,0.42857142857142855,0.3076923076923077
nasdaq,change_volatility,phase2,False,18.36943462654945,3.2189548175733234,0.5,0.4189189189189189
nasdaq,change_volatility,phase3,False,52.3402052195335,3.855656506762523,0.5670103092783505,0.5116279069767442
nasdaq,change_volatility,phase4,False,59.0631113566051,3.749630966251998,0.5757575757575758,0.46153846153846156
nasdaq,change_volatility,full,False,27.595932949100636,3.293222359247782,0.5211970074812967,0.625
bitcoin,change_stockprice,phase1,False,109.72463197006122,8.226060168950685,0.4444444444444444,0.33962264150943394
bitcoin,change_stockprice,phase2,False,32.22661981164357,4.146349131714466,0.5058139534883721,0.5029239766081871
bitcoin,change_stockprice,phase3,False,14.803362633657962,3.2415456089392767,0.5257731958762887,0.6101694915254238
bitcoin,change_stockprice,phase4,False,4.727975841574116,1.6477329807751107,0.5151515151515151,0.0
bitcoin,change_stockprice,full,False,23.243461320946317,3.6502616518755393,0.5261845386533666,0.5869565217391305
bitcoin,change_volume,phase1,False,1885.6752928143114,33.8240206354549,0.42857142857142855,0.02702702702702703
bitcoin,change_volume,phase2,False,1336.1200678954997,27.247197211308535,0.5813953488372093,0.6814159292035398
bitcoin,change_volume,phase3,False,22022.511401726973,121.66000259567782,0.6185567010309279,0.6991869918699187
bitcoin,change_volume,phase4,False,783.0511424652676,17.576867711363416,0.5757575757575758,0.46153846153846156
bitcoin,change_volume,full,False,4206.79524111689,48.477286988195786,0.6134663341645885,0.7058823529411765
bitcoin,change_volatility,phase1,False,322.87121302863056,15.9053796968825,0.5158730158730159,0.680628272251309
