date,tweet_count,neg,neu,pos,nlp_tweet_count,share_neutral,share_polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Agreeableness,Conscientiousness,Extroversion,Neuroticism,Openness
2015-01-30,2,0.015806781,0.88996625,0.09422702,2,1.0,0.0,0.00455704,0.0013611887,0.0018038023,0.0058171977,0.8694987,0.0038303086,0.11313172,0.18289106777359673,0.13045913272767504,0.19721438631399799,0.20718333604037226,0.19955623761159855
2015-01-31,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-07,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-08,6,0.23876183,0.5227394,0.23849879,6,0.8333333333333334,0.1666666666666666,0.011583966,0.013364538,0.061591763,0.04185315,0.514526,0.2729933,0.08408731,0.18300467645943164,0.12307898250446303,0.1946231868489865,0.20996888520280976,0.19512484575966496
2015-02-09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-10,5,0.26145726,0.6807466,0.05779613,5,1.0,0.0,0.044833668,0.0121282805,0.051026862,0.03873332,0.5809526,0.113600455,0.15872483,0.18095701327218638,0.11712558206009159,0.20709400631285177,0.2137468185899172,0.2067641886049441
2015-02-11,13,0.0745285,0.49072742,0.4347441,13,0.6153846153846154,0.3846153846153846,0.024852056,0.005038799,0.11834243,0.12074708,0.47620758,0.079240985,0.17557107,0.1770354559386735,0.1183428663162195,0.20492558176658807,0.2128111875614368,0.206442908466238
2015-02-12,2,0.10217859,0.83151567,0.06630565,2,1.0,0.0,0.03936528,0.0026629348,0.42126095,0.027046673,0.23909569,0.07682999,0.19373845,0.16292818904579748,0.0977553089939668,0.22128361550333964,0.21936713580452055,0.22376362985054762
2015-02-13,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-16,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-17,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-18,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-19,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-22,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-23,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-24,1,0.0019655165,0.09174134,0.90629315,1,0.0,1.0,0.04452977,0.0005228438,0.0326319,0.2591448,0.10136027,0.013595337,0.54821503,0.17271519412345185,0.12098510628134658,0.2215211212360518,0.20453979380086468,0.2099953634704254
2015-02-25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-26,1,0.001435038,0.014953367,0.98361164,1,0.0,1.0,0.0030631812,0.0010442339,0.0008823661,0.8616969,0.040653847,0.0032583335,0.08940113,0.17369359955394073,0.11948345802099058,0.19509243447160887,0.2101525806433705,0.19768320509097848
2015-02-27,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
