date,bitcoin_stockprice_sma_5,bitcoin_stockprice_sma_10,bitcoin_stockprice_sma_20,bitcoin_stockprice_sma_50,bitcoin_stockprice_sma_100,bitcoin_stockprice_ema_12,bitcoin_stockprice_ema_26,bitcoin_stockprice_macd_line,bitcoin_stockprice_macd_signal,bitcoin_stockprice_macd_hist,bitcoin_stockprice_rsi_14,bitcoin_stockprice_bb_mean_20,bitcoin_stockprice_bb_upper_20,bitcoin_stockprice_bb_lower_20,bitcoin_atr_14,bitcoin_pdi_14,bitcoin_mdi_14,bitcoin_dx_14,bitcoin_adx_14,bitcoin_stoch_k_14,bitcoin_stoch_d_3,bitcoin_obv,bitcoin_stockprice_momentum_7,bitcoin_stockprice_roc_7,bitcoin_stockprice_momentum_21,bitcoin_stockprice_roc_21,bitcoin_mfi_14,bitcoin_volatility_std_10,bitcoin_avg_volume_20,bitcoin_volume_spike_20
2014-09-17,457.3340148925781,457.3340148925781,457.3340148925781,457.3340148925781,457.3340148925781,457.3340148925781,457.3340148925781,0.0,0.0,0.0,,457.3340148925781,,,15.752014160156309,,,,,31.1834269086061,31.1834269086061,0,,,,,,,21056800.0,1.0
2014-09-18,440.8870086669922,440.8870086669922,440.8870086669922,440.8870086669922,440.8870086669922,452.2733975923978,454.8974213776765,-2.6240237852786663,-0.5248047570557333,-2.099219028222933,,440.8870086669922,487.4061671963088,394.3678501376756,17.786156790597154,-0.0,221.05952189091457,100.0,100.0,20.584704970923323,25.88406593976471,-34483200,,,,,0.0,0.0,27770000.0,1.2417428880086425
2014-09-19,425.5233357747396,425.5233357747396,425.5233357747396,425.5233357747396,425.5233357747396,443.4307194997573,450.4454634971252,-7.01474399736793,-1.8227926051181729,-5.1919513922497575,,425.5233357747396,488.0895038851448,362.9571676643343,19.60878691381343,-0.0,196.5976872918469,100.0,100.0,12.271319744262668,21.346483874597364,-72402900,,,,,0.0,0.0,31153233.333333332,1.2171994988214172
2014-09-20,421.3684997558594,421.3684997558594,421.3684997558594,421.3684997558594,421.3684997558594,438.1189152227514,447.36831743802105,-9.24940221526964,-3.3081145271484664,-5.941287688121173,,421.3684997558594,475.0889445807136,367.6480549310052,20.59480173316716,-0.0,173.81483201933213,100.0,100.0,29.13844630417393,20.66482367311997,-35539300,,,,,33.257125757349726,0.0,32580825.0,1.1314507843186905
2014-09-21,416.8590026855469,416.8590026855469,416.8590026855469,416.8590026855469,416.8590026855469,432.0730843276046,443.77222091700446,-11.69913658939987,-4.986318939598748,-6.7128176498011225,,416.8590026855469,467.5652737048035,366.1527316662903,20.49838697488289,-0.0,162.15863404766597,100.0,100.0,17.08352473254885,19.497763593661816,-62119400,,,,,26.899819948236555,0.0,31380680.0,0.847021160790652
2014-09-22,405.8226013183594,414.4078369140625,414.4078369140625,414.4078369140625,414.4078369140625,427.4698418243794,440.6892421866072,-13.21940036222776,-6.632935224124551,-6.586465138103208,,414.4078369140625,461.3236963209385,367.4919775071865,19.73321506414907,-0.0,156.41457988430497,100.0,100.0,21.065966233712203,22.42931242347833,-37991800,,,,,37.722075642156994,0.0,30171833.333333332,0.7996729841850291
2014-09-23,408.0927978515625,417.4625723702567,417.4625723702567,417.4625723702567,417.4625723702567,428.75001771407824,440.3264083288897,-11.576390614811489,-7.621626302261938,-3.954764312549549,,417.4625723702567,463.2395061219841,371.6856386185293,21.563700835934185,11.474647667021294,132.91288970698014,84.10576442300702,98.86469745878624,61.28377276404057,33.144421243433875,7107700,,,,,51.80404068332156,0.0,32304357.14285714,1.396081024010472
2014-09-24,413.7745971679688,418.1803741455078,418.1803741455078,418.1803741455078,418.1803741455078,427.8969359999532,439.0581548654361,-11.161218865482908,-8.329544814906132,-2.831674050576776,,418.1803741455078,460.7556513533903,375.6050969376254,21.09343727524804,10.892576483074944,126.17065540763669,84.105764423007,97.8104879562306,46.236310015283934,42.8620163376789,-23520000,-34.1290283203125,-7.462604400490303,,,58.24985467125916,0.0,32094775.0,0.9542892885212624
2014-09-25,414.3085998535156,417.44633314344617,417.44633314344617,417.44633314344617,417.44633314344617,425.3857158656455,437.0222919218448,-11.636576056199315,-8.990951063164768,-2.645624993034549,,417.44633314344617,457.5146477274102,377.3780185594821,20.59047760938211,10.361601128771952,124.066526911107,84.58417701733059,96.86575146059488,32.33063860264645,46.61690712732366,-50334400,-12.865997314453182,-3.0312876355779728,,,52.29790335683437,0.0,31508066.666666668,0.8510328571942423
2014-09-26,415.42939453125,416.1441986083984,416.1441986083984,416.1441986083984,416.1441986083984,422.160988469849,434.6076768011873,-12.446688331338294,-9.682098516799474,-2.7645898145388195,,416.1441986083984,454.8082189687729,377.480178248024,20.186085322690754,9.814236122746962,120.85961856955431,84.97903632542771,96.01670037951152,23.78347631569255,34.11680831120765,-71795200,9.628997802734432,2.438980649973832,,,48.41843035013204,0.0,30503340.0,0.7035557417646723
