date,target_nasdaq_change_stockprice_next
2014-09-17,0.0
2014-09-18,0.684764000978233
2014-09-19,-0.2969488203100834
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,-1.1376088687881205
2014-09-23,-0.4196400426240032
2014-09-24,1.0320131577508107
2014-09-25,-1.942172072284432
2014-09-26,1.017293141685793
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,-0.1405048065867609
2014-09-30,-0.2765285277462115
2014-10-01,-1.5867817126784425
2014-10-02,0.1834053999143048
2014-10-03,1.0252340723351017
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,-0.4651939162585439
2014-10-07,-1.5623510017613973
2014-10-08,1.9016155414441016
2014-10-09,-2.019652802242033
2014-10-10,-2.331925182115435
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,-1.4634369140897108
2014-10-14,0.3206183015248998
2014-10-15,-0.2803317083358125
2014-10-16,0.0491140076277263
2014-10-17,0.9733461538238952
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,1.3533097473594768
2014-10-21,2.395933348198742
2014-10-22,-0.8288278931996573
2014-10-23,1.5957639400820731
2014-10-24,0.6946246175973281
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,0.0492885557440425
2014-10-28,1.746791862795849
2014-10-29,-0.3299540227474917
2014-10-30,0.371714692873315
2014-10-31,1.414763798788532
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,0.1764279890794418
2014-11-04,-0.3291725646093146
2014-11-05,-0.0631520141849084
2014-11-06,0.3841392504782881
2014-11-07,-0.1280687255140633
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.412093022961657
2014-11-11,0.1921898431305191
2014-11-12,0.3128396145891443
2014-11-13,0.1069486657892859
2014-11-14,0.1794797185205476
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,-0.3741044955650419
2014-11-18,0.6730880198297928
2014-11-19,-0.5684278970452206
2014-11-20,0.5594905686740814
2014-11-21,0.2360783556243806
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,0.8894586633068746
2014-11-25,0.0706612179176113
2014-11-26,0.610935201360796
2014-11-27,0.0
2014-11-28,0.0900307218236307
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,-1.3415014666892433
2014-12-02,0.6020277819408726
2014-12-03,0.3923654649806929
2014-12-04,-0.1053577299919283
2014-12-05,0.2373407435215968
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,-0.8381476205280847
2014-12-09,0.5438084699935564
2014-12-10,-1.7297956684116822
2014-12-11,0.5153721935023947
2014-12-12,-1.158840327921351
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,-1.0409132798206322
2014-12-16,-1.244909540164274
2014-12-17,2.1214508636287377
2014-12-18,2.2412337341128685
2014-12-19,0.3575937330040135
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.3365951814324974
2014-12-23,-0.3346286304367396
2014-12-24,0.1689314499189409
2014-12-25,0.0
2014-12-26,0.6994837494464834
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,0.0010462749108652
2014-12-30,-0.6130802092365384
2014-12-31,-0.8663664478546385
2015-01-01,0.0
2015-01-02,-0.1950939385097938
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,-1.5706202164824656
2015-01-06,-1.2859471669250278
2015-01-07,1.2569833590121648
2015-01-08,1.843248587828672
2015-01-09,-0.6781847346680303
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,-0.8367193675273943
2015-01-13,-0.068813730422268
2015-01-14,-0.4758162776198671
2015-01-15,-1.476509544403637
2015-01-16,1.3905614537018884
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.4417034287514498
2015-01-21,0.2700371430882198
2015-01-22,1.7778554717102768
2015-01-23,0.1574600164726991
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.2917241114606561
2015-01-27,-1.8915404391314337
2015-01-28,-0.92939796272562
2015-01-29,0.979301800559318
2015-01-30,-1.028522385781594
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.8942299629662864
2015-02-03,1.0915902830496371
2015-02-04,-0.2335161941053543
2015-02-05,1.0261390450860164
2015-02-06,-0.43441260179784
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,-0.3876177619358212
2015-02-10,1.3040677897456554
2015-02-11,0.2828123809610172
2015-02-12,1.175329511369938
2015-02-13,0.7458396513605026
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.110959409270106
2015-02-18,0.1447122473702489
2015-02-19,0.373807314227137
2015-02-20,0.6349629072042617
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.1008884190834003
2015-02-24,0.1441230653301817
2015-02-25,-0.0197253779223194
2015-02-26,0.4177454114211443
2015-02-27,-0.4883898982291024
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.8979559794985104
2015-03-03,-0.5630916867196301
2015-03-04,-0.2562253433848083
2015-03-05,0.3154717089450143
2015-03-06,-1.1126240164550103
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,0.305839095914151
2015-03-10,-1.6722489969242638
2015-03-11,-0.2026856629005813
2015-03-12,0.8938275149790842
2015-03-13,-0.4399958568902851
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,1.1854032788620297
2015-03-17,0.1606733840245455
2015-03-18,0.919504696318385
2015-03-19,0.1916542313859848
2015-03-20,0.6818399212706439
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,-0.3073700023353165
2015-03-24,-0.3240936121889581
2015-03-25,-2.366693723179125
2015-03-26,-0.2698677786062919
2015-03-27,0.5728622258214466
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,1.1494008466820915
2015-03-31,-0.941093962638706
2015-04-01,-0.4213509173356722
2015-04-02,0.1374927198995568
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.621654515438097
2015-04-07,-0.14418105804469
2015-04-08,0.8266383430399982
2015-04-09,0.4795212756252276
2015-04-10,0.4305892706631731
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,-0.1547240080818857
2015-04-14,-0.2197155502931869
2015-04-15,0.677677615811656
2015-04-16,-0.0644575446947071
2015-04-17,-1.5172357442320816
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,1.273164179408881
2015-04-21,0.3904216477541578
2015-04-22,0.4202114797947187
2015-04-23,0.4148844436807186
2015-04-24,0.7124128098523475
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,-0.6250898971863816
2015-04-28,-0.0954513734499284
2015-04-29,-0.6286280001931766
2015-04-30,-1.636666094826078
2015-05-01,1.2945715169958127
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.2305522396315096
2015-05-05,-1.5467645539668284
2015-05-06,-0.3986358695372782
2015-05-07,0.5264592861262463
2015-05-08,1.1729713068099334
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,-0.1994580019849201
2015-05-12,-0.3480452546834933
2015-05-13,0.1105263276675927
2015-05-14,1.38727749205807
2015-05-15,-0.0496904593737967
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,0.5972299949182247
2015-05-19,-0.1656051139136027
2015-05-20,0.0337364727867717
2015-05-21,0.3756068687900349
2015-05-22,-0.0280933955294937
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,-1.112317949643904
2015-05-27,1.467186801450504
2015-05-28,-0.1686029923039123
2015-05-29,-0.5482602014833748
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.2544440796535152
2015-06-02,-0.1261114362841819
2015-06-03,0.4473529277955412
