date,target_nasdaq_change_volatility_next
2014-09-17,0.0
2014-09-18,
2014-09-19,
2014-09-20,
2014-09-21,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-27,
2014-09-28,
2014-09-29,
2014-09-30,
2014-10-01,
2014-10-02,
2014-10-03,
2014-10-04,
2014-10-05,
2014-10-06,
2014-10-07,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-11,
2014-10-12,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-18,
2014-10-19,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-25,
2014-10-26,
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,-0.3739900586509637
2014-10-31,2.04938827724781
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,-1.547272940444333
2014-11-04,-0.0918580845324701
2014-11-05,-1.0089696280731864
2014-11-06,-4.751415738335685
2014-11-07,-0.9566603335182
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.053768718742142
2014-11-11,-0.186159986933676
2014-11-12,-3.958011244317872
2014-11-13,0.0082484861918086
2014-11-14,-1.0041809680417568
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,-0.1487061581944226
2014-11-18,-4.192510117688353
2014-11-19,-3.5735382203219923
2014-11-20,-8.394753619776129
2014-11-21,-14.841810517263877
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,-8.829839259829397
2014-11-25,0.3311578435135409
2014-11-26,-1.4275885242720832
2014-11-27,0.0
2014-11-28,-0.0971969480655143
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,8.608924030197528
2014-12-02,-2.726874566085302
2014-12-03,-13.884837111581405
2014-12-04,-4.444244864389535
2014-12-05,-8.09424164187651
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,4.50416903733748
2014-12-09,0.4813564610351539
2014-12-10,4.874077240279373
2014-12-11,-0.0629811980284
2014-12-12,6.2765655722915925
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,-2.9946976748522536
2014-12-16,5.620417396326771
2014-12-17,15.032151395075232
2014-12-18,12.152645100776429
2014-12-19,-0.0324961771803078
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.0127016923415546
2014-12-23,0.1801193446995697
2014-12-24,-0.0101848967575146
2014-12-25,0.0
2014-12-26,0.7023798836835793
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,0.0168527330092871
2014-12-30,1.0016869988459076
2014-12-31,1.4084219719507685
2015-01-01,0.0
2015-01-02,-0.7371065552273515
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,4.455701259269285
2015-01-06,2.248259654269136
2015-01-07,2.9383984300293653
2015-01-08,4.403956869157488
2015-01-09,0.6625620344433258
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.2410819059235791
