date,target_nasdaq_change_volume_next
2014-09-17,0.0
2014-09-18,-1.2172248164701085
2014-09-19,79.08600211850083
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,-40.80459589301838
2014-09-23,-1.7958884306305545
2014-09-24,-4.463314445292332
2014-09-25,9.876732039472946
2014-09-26,-15.576842767360445
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,6.12343356865428
2014-09-30,26.622356495468267
2014-10-01,5.1013915778183705
2014-10-02,-6.362020729645468
2014-10-03,-17.910875086585087
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,2.846470601471607
2014-10-07,15.485931825143307
2014-10-08,16.116152622006673
2014-10-09,-7.644301954210054
2014-10-10,22.150232751234423
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,-10.771761728283469
2014-10-14,1.1463512478574245
2014-10-15,22.53978174126243
2014-10-16,-15.261185978540182
2014-10-17,-12.803922930314748
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,-24.012530585335856
2014-10-21,16.31622772029324
2014-10-22,-1.529851119855019
2014-10-23,-0.7442730628056671
2014-10-24,-10.1455659246663
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,-9.617511258051648
2014-10-28,24.05050517791596
2014-10-29,11.039086490553762
2014-10-30,-6.826308921499047
2014-10-31,19.13551126312065
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,-16.14281707337194
2014-11-04,-4.607968519429417
2014-11-05,3.225357341748647
2014-11-06,-0.7517970697397902
2014-11-07,-0.4021501696177765
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,-7.520605610385934
2014-11-11,-9.08847492636652
2014-11-12,6.573941058730903
2014-11-13,4.766900161303056
2014-11-14,-6.332432519729969
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,-2.579384465070833
2014-11-18,-2.3190782681541178
2014-11-19,-0.8576122143305831
2014-11-20,1.5698481931820885
2014-11-21,11.216135977880803
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,-15.434602068660553
2014-11-25,9.693711618296952
2014-11-26,-20.76633297289755
2014-11-27,0.0
2014-11-28,-26.731380188270855
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,89.62547566593231
2014-12-02,-2.874419095901981
2014-12-03,-5.690610438404276
2014-12-04,-0.6007460320205715
2014-12-05,2.494649351251965
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,11.299303944315554
2014-12-09,-0.8358882838359394
2014-12-10,-5.10272620530885
2014-12-11,1.201636040436349
2014-12-12,0.8446117295320521
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,13.486370157819216
2014-12-16,4.108023381118775
2014-12-17,2.162506105293338
2014-12-18,-4.72251341049944
2014-12-19,51.35941369817609
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,-47.685162656025696
2014-12-23,-7.514229072072654
2014-12-24,-54.12743113614362
2014-12-25,0.0
2014-12-26,27.471051730044536
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,31.98383178172905
2014-12-30,3.3769364849235206
2014-12-31,19.41380397100536
2015-01-01,0.0
2015-01-02,-5.308128793877009
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,25.037104135456232
2015-01-06,20.77772267020346
2015-01-07,-9.660317811859809
2015-01-08,7.533389514543276
2015-01-09,-18.505307653945717
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,8.516577982667272
2015-01-13,16.12386947088016
2015-01-14,-4.08707878160005
2015-01-15,-4.703902479012056
2015-01-16,-0.2904476131683098
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,-6.875342549174834
2015-01-21,0.674644694393578
2015-01-22,8.072338721027172
2015-01-23,-17.165610678420272
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,3.8504562137583687
2015-01-27,13.778667955353963
2015-01-28,8.418962623326642
2015-01-29,-0.3761776200275624
2015-01-30,7.273381942569079
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,-11.384885811070433
2015-02-03,7.32986119763761
2015-02-04,2.7601322485976354
2015-02-05,-7.969868411539293
2015-02-06,-0.1242272622373641
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,-18.6513672163063
2015-02-10,7.194744603186121
2015-02-11,1.1219294932148571
2015-02-12,15.713385703851968
2015-02-13,-6.419268888492724
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,-9.821134360326225
2015-02-18,-3.8076152304609256
2015-02-19,-5.455246913580247
2015-02-20,10.562562386605467
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,-0.3571550245863419
2015-02-24,4.56107359603386
2015-02-25,0.7450037876929994
2015-02-26,3.082940234560949
2015-02-27,2.626013486919776
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,-1.251796133136296
2015-03-03,4.546090072548958
2015-03-04,-9.612660359601763
2015-03-05,-5.514486280913844
2015-03-06,11.25275490082358
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,-11.558111165559737
2015-03-10,10.5805447654302
2015-03-11,-1.5986055511431174
2015-03-12,0.4924106997757249
2015-03-13,-0.1994490892723299
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,-7.449997569420064
2015-03-17,0.635548707892708
2015-03-18,15.03157674976947
2015-03-19,-15.55780738768987
2015-03-20,68.69973790575355
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,-43.06199945499651
2015-03-24,0.1734125602903979
2015-03-25,37.715537299819445
2015-03-26,-9.66695501730104
2015-03-27,-16.275137658606653
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,5.949423643999641
2015-03-31,3.3252367136720418
2015-04-01,2.029755232197461
2015-04-02,-16.602487519733756
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,11.120632870106872
2015-04-07,-9.47420520730219
2015-04-08,8.981270741414171
2015-04-09,0.9065400388517107
2015-04-10,-13.615262321144671
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,3.342836492129786
2015-04-14,1.7594985073080327
2015-04-15,14.265986152123
2015-04-16,-7.389461607436242
2015-04-17,19.384791171783377
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,-17.068895168724406
2015-04-21,4.550700341363267
2015-04-22,-1.4454527497298475
2015-04-23,9.563894882042945
2015-04-24,1.9654367218689075
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,14.633142495316998
2015-04-28,-6.44289679489245
2015-04-29,-7.931119311193113
2015-04-30,21.26810238871373
2015-05-01,-18.282810923240312
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,-10.040983606557374
2015-05-05,24.05526915237981
2015-05-06,3.630363036303641
2015-05-07,-4.740233701075248
2015-05-08,-3.142499118925479
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,-12.50126341749378
2015-05-12,-1.4739602284869369
2015-05-13,-1.97025564667882
2015-05-14,4.1686101443555446
2015-05-15,-4.288822425185279
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,-1.4029005673980022
2015-05-19,6.51572204614721
2015-05-20,2.047424870643866
2015-05-21,-5.773352809164834
2015-05-22,-8.240926072211296
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,12.106128472671717
2015-05-27,4.480498859666859
2015-05-28,-3.765024453593435
2015-05-29,16.23674931952086
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,-6.029631898506549
2015-06-02,-9.061993985658113
2015-06-03,7.106807342101451
2015-06-04,-2.08994537642766
2015-06-05,1.5948532492447542
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,-7.091036361367198
2015-06-09,2.46056266462642
2015-06-10,2.202537706487906
2015-06-11,-9.427322111791549
2015-06-12,-12.010837772098892
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,25.29078311988242
2015-06-16,-7.566414192193404
2015-06-17,3.50491292104278
2015-06-18,9.639074742237952
2015-06-19,31.438506432648893
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,-34.36926480061256
2015-06-23,-0.3969209306345145
2015-06-24,0.945746619234722
2015-06-25,-0.8619842829076574
2015-06-26,138.04218583566598
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,-47.3028063301776
2015-06-30,0.4369118968394314
2015-07-01,-10.807449752510534
2015-07-02,-17.841790847367957
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,16.815690798961636
2015-07-07,22.42779213321848
2015-07-08,-9.4067764811827
2015-07-09,-3.619946984758116
2015-07-10,-14.577245380318004
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,6.534274916207084
2015-07-14,-0.6776299479381853
2015-07-15,0.5164442014429449
2015-07-16,7.815058976557188
2015-07-17,1.6956123562540837
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,-2.171533338725773
2015-07-21,-2.183355565599887
2015-07-22,14.716804634362134
2015-07-23,-1.5925491101472231
2015-07-24,0.0534116037957277
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,-3.086241131921097
2015-07-28,4.251693676255575
2015-07-29,-6.654453338337174
2015-07-30,0.959081651546012
2015-07-31,0.9368712273641888
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,-7.074482443572339
2015-08-04,1.6546746514122246
2015-08-05,12.188272792218502
2015-08-06,12.219506340956857
2015-08-07,-12.335057508893687
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,-11.124997510406498
2015-08-11,7.138095051346549
2015-08-12,9.261951326646932
2015-08-13,-21.87742287480976
2015-08-14,-8.865187399683894
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,1.5568387300605613
2015-08-18,-0.6122624587136527
2015-08-19,18.90592325212781
2015-08-20,16.89126368025451
2015-08-21,32.65644465740296
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,26.739725631560308
2015-08-25,-25.53664458909497
2015-08-26,0.7218309859154948
2015-08-27,-9.985332451760486
2015-08-28,-18.25081895241634
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,-5.036301857952841
2015-09-01,22.552351536968263
2015-09-02,-14.40576816417083
2015-09-03,-6.5191697596781895
2015-09-04,-12.676618681099306
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,12.12152001625686
2015-09-09,11.222813774354323
2015-09-10,-6.007893061744108
2015-09-11,-8.645714254755465
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,-12.955242291793924
2015-09-15,8.15675800891167
2015-09-16,4.9714638479079865
2015-09-17,13.510123741283508
2015-09-18,72.99141955368991
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,-38.22013049524013
2015-09-22,1.0561307524498798
2015-09-23,-21.36934132205513
2015-09-24,24.24719702676288
2015-09-25,2.741229168963133
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,16.43867682989275
2015-09-29,-3.9436926466215216
2015-09-30,4.573895223353452
2015-10-01,-11.022578022390396
2015-10-02,2.3116322007132206
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,-8.152721543337671
2015-10-06,3.9744280214629057
2015-10-07,3.111241139173715
2015-10-08,-7.705510514491443
2015-10-09,-9.070017084712967
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,-25.519603604801965
2015-10-13,16.46351445878169
2015-10-14,21.558278915824317
2015-10-15,2.1256688708303884
2015-10-16,-4.509238766791912
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,-12.686426380781446
2015-10-20,5.665711887006775
2015-10-21,10.731436583513476
2015-10-22,13.751787231123934
2015-10-23,1.0310569377191436
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,-19.26207494938644
2015-10-27,12.972724016171131
2015-10-28,7.765597632421328
2015-10-29,-9.939611326729349
2015-10-30,4.567730292328509
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,-6.3583929696140125
2015-11-03,7.438379815483698
2015-11-04,3.326382829791541
2015-11-05,-1.9855828176956412
2015-11-06,0.5811661288202874
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,-10.436356421461168
2015-11-10,2.9906471360568787
2015-11-11,-12.264705265145947
2015-11-12,8.885154932609396
2015-11-13,9.8916487728798
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,-9.088228679943033
2015-11-17,2.3373039649514427
2015-11-18,8.36220463982038
2015-11-19,-11.067765776572704
2015-11-20,-1.531678659613955
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,-5.567096675591376
2015-11-24,17.301652000863154
2015-11-25,-21.34067820861354
2015-11-26,0.0
2015-11-27,-49.21522770090301
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,187.12598979187183
2015-12-01,-9.310552226504198
2015-12-02,1.2168581773164266
2015-12-03,1.3473504373064715
2015-12-04,-9.12839423399262
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,2.909106240349102
2015-12-08,-4.160414607541396
2015-12-09,7.053354350904373
2015-12-10,-12.824377948039633
2015-12-11,19.37739046790188
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,6.288400201443678
2015-12-15,-7.28094004674964
2015-12-16,-0.8809029011393354
2015-12-17,-6.844216614864895
2015-12-18,98.45932469613436
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,-55.55626379405133
2015-12-22,-6.975618501254932
2015-12-23,2.236826045340368
2015-12-24,-55.58376112950757
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,85.4133657763694
2015-12-29,5.556021821233736
2015-12-30,-9.826017188663291
2015-12-31,15.226086747412882
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,54.32701672371094
2016-01-05,-13.119247031671188
2016-01-06,12.516473139702612
2016-01-07,17.705729911187753
2016-01-08,-10.336168362330024
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,4.472310212998365
2016-01-12,-10.189409939316883
2016-01-13,17.962066990458545
2016-01-14,1.27743565450813
2016-01-15,9.864123232354729
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,-15.045607263103
2016-01-20,33.80927522916623
2016-01-21,-23.6064079797012
2016-01-22,-12.02778061485037
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,-5.779858266692672
2016-01-26,-2.3510508260715324
2016-01-27,6.79039764180942
2016-01-28,9.76504341332225
2016-01-29,12.713203663593584
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,-24.22914557506065
2016-02-02,10.17677251505036
2016-02-03,12.859810175820762
2016-02-04,-10.755862281494933
2016-02-05,13.101279913491126
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,8.548254917084464
2016-02-09,-8.744407065694082
2016-02-10,-0.7060617489729415
2016-02-11,14.864931097296983
2016-02-12,-29.48231537550714
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,6.793600209763051
2016-02-17,8.429024703482657
2016-02-18,-14.83034610092142
2016-02-19,-2.6637762223460704
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,-5.764877059728857
2016-02-23,-0.9069018182628952
2016-02-24,11.27436366193222
2016-02-25,-15.688157801615631
2016-02-26,8.818591711435154
