date,target_bitcoin_change_stockprice_next
2014-09-17,0.0
2014-09-18,-7.192557601231164
2014-09-19,-6.984264508683835
2014-09-20,3.573491642945359
2014-09-21,-2.46585445473928
2014-09-22,0.8352101649706567
2014-09-23,8.364741783421215
2014-09-24,-2.8880814347395978
2014-09-25,-2.7483091679796234
2014-09-26,-1.736994378879475
2014-09-27,-1.2128327693262777
2014-09-28,-5.591457216687113
2014-09-29,-0.454420890480145
2014-09-30,3.0567238732558177
2014-10-01,-0.8603337970520819
2014-10-02,-2.22697222086099
2014-10-03,-4.148536263261304
2014-10-04,-8.524332054467354
2014-10-05,-2.5408487399317115
2014-10-06,2.985554258083245
2014-10-07,1.8504665621736027
2014-10-08,4.983235561959076
2014-10-09,3.424377642532228
2014-10-10,-0.9489705523839986
2014-10-11,0.2038376510340001
2014-10-12,4.485245473017008
2014-10-13,3.1343339653187696
2014-10-14,2.6781810112118443
2014-10-15,-1.5209381938148914
2014-10-16,-3.0946924386217045
2014-10-17,0.3142012804338456
2014-10-18,2.00230107685242
2014-10-19,-0.4843619645193642
2014-10-20,-1.720204787552615
2014-10-21,0.9481656731152864
2014-10-22,-0.858274545359361
2014-10-23,-6.457126822962156
2014-10-24,-0.0200858129960623
2014-10-25,-3.090319409850706
2014-10-26,2.140407347467921
2014-10-27,-0.4835006905739236
2014-10-28,1.3113716357861849
2014-10-29,-6.15936763526368
2014-10-30,2.894591678226255
2014-10-31,-2.0225535163465924
2014-11-01,-3.7160037210550954
2014-11-02,0.0439004798792774
2014-11-03,0.5099810100901436
2014-11-04,0.8969571209719529
2014-11-05,2.721393533736638
2014-11-06,2.887900040604885
2014-11-07,-1.9682784596788183
2014-11-08,0.8974484091493373
2014-11-09,5.14518612438124
2014-11-10,1.0075326995947045
2014-11-11,0.2101241865214875
2014-11-12,15.19356972535464
2014-11-13,-0.667204784236497
2014-11-14,-5.446894835320326
2014-11-15,-5.450984603818732
2014-11-16,3.123627295980569
2014-11-17,-0.1222018648608824
2014-11-18,-3.1517139000605376
2014-11-19,1.4277780416720232
