date,sp500_stockprice,sp500_volume,sp500_volatility
2014-09-17,2001.5699462890625,3209420000.0,0.0
2014-09-18,2011.3599853515625,3235340000.0,0.0
2014-09-19,2010.4000244140625,4880220000.0,0.0
2014-09-20,2010.4000244140625,4880220000.0,0.0
2014-09-21,2010.4000244140625,4880220000.0,0.0
2014-09-22,1994.2900390625,3349670000.0,0.0
2014-09-23,1982.77001953125,3279350000.0,0.0
2014-09-24,1998.300048828125,3313850000.0,0.0
2014-09-25,1965.989990234375,3273050000.0,0.0
2014-09-26,1982.8499755859373,2929440000.0,0.0
2014-09-27,1982.8499755859373,2929440000.0,0.0
2014-09-28,1982.8499755859373,2929440000.0,0.0
2014-09-29,1977.800048828125,3094440000.0,0.0
2014-09-30,1972.2900390625,3951100000.0,0.0
2014-10-01,1946.1600341796875,4188590000.0,0.0
2014-10-02,1946.1700439453125,4012510000.0,0.0
2014-10-03,1967.9000244140625,3560970000.0,0.0
2014-10-04,1967.9000244140625,3560970000.0,0.0
2014-10-05,1967.9000244140625,3560970000.0,0.0
2014-10-06,1964.8199462890625,3358220000.0,0.0
2014-10-07,1935.0999755859373,3687870000.0,0.0
2014-10-08,1968.8900146484373,4441890000.0,0.0
2014-10-09,1928.2099609375,4344020000.0,0.0
2014-10-10,1906.1300048828125,4550540000.0,0.0
2014-10-11,1906.1300048828125,4550540000.0,0.0
2014-10-12,1906.1300048828125,4550540000.0,0.0
2014-10-13,1874.739990234375,4352580000.0,0.0
2014-10-14,1877.699951171875,4812010000.0,0.0
2014-10-15,1862.489990234375,6090800000.0,0.0
2014-10-16,1862.760009765625,5073150000.0,0.0
2014-10-17,1886.760009765625,4482120000.0,0.0
2014-10-18,1886.760009765625,4482120000.0,0.0
2014-10-19,1886.760009765625,4482120000.0,0.0
2014-10-20,1904.010009765625,3331210000.0,0.0
2014-10-21,1941.280029296875,3987090000.0,0.0
2014-10-22,1927.1099853515625,3761930000.0,0.0
2014-10-23,1950.8199462890625,3789250000.0,0.0
2014-10-24,1964.5799560546875,3078380000.0,0.0
2014-10-25,1964.5799560546875,3078380000.0,0.0
2014-10-26,1964.5799560546875,3078380000.0,0.0
2014-10-27,1961.6300048828125,3538860000.0,0.0
2014-10-28,1985.050048828125,3653260000.0,0.0
