date,target_sp500_change_stockprice_next
2014-09-17,0.0
2014-09-18,0.4891180086237234
2014-09-19,-0.0477269581025452
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,-0.8013323296818919
2014-09-23,-0.5776501564770165
2014-09-24,0.783249148610099
2014-09-25,-1.6168772358634451
2014-09-26,0.8575824615237426
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,-0.2546802239196122
2014-09-30,-0.2785928622506484
2014-10-01,-1.3248560995234304
2014-10-02,0.0005143341477165
2014-10-03,1.11655096821337
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,-0.156515985913308
2014-10-07,-1.5126053030587894
2014-10-08,1.7461650296527242
2014-10-09,-2.066141501469343
2014-10-10,-1.1451012338901223
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,-1.6467929557809624
2014-10-14,0.1578864777472377
2014-10-15,-0.8100314924121665
2014-10-16,0.0144977708694149
2014-10-17,1.2884107385910504
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,0.914265720638352
2014-10-21,1.9574487182363989
2014-10-22,-0.7299330200416732
2014-10-23,1.2303377138681793
2014-10-24,0.7053449392805167
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,-0.1501568395210095
2014-10-28,1.1939073060167391
2014-10-29,-0.1385355498529361
2014-10-30,0.6230124240393486
2014-10-31,1.1731393541549506
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,-0.0118921844636243
2014-11-04,-0.2829841680833
2014-11-05,0.5700497411807337
2014-11-06,0.3775513004849795
2014-11-07,0.0349586217805342
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.3120184693883088
2014-11-11,0.0696694209035397
2014-11-12,-0.0701116681675384
2014-11-13,0.0529844746565588
2014-11-14,0.0240270208810677
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,0.0735359021627912
2014-11-18,0.5133983312177293
2014-11-19,-0.1501159007554986
2014-11-20,0.196709621349167
2014-11-21,0.5236877359639402
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,0.2864023314453678
2014-11-25,-0.1150029676853181
2014-11-26,0.2805981889918651
2014-11-27,0.0
2014-11-28,-0.2542427180532325
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,-0.6829362527492333
2014-12-02,0.6384461097458161
2014-12-03,0.3764742741791727
2014-12-04,-0.1161896207077406
2014-12-05,0.1665216534709301
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,-0.7256565211683386
2014-12-09,-0.0237823541331172
2014-12-10,-1.635096881921516
2014-12-11,0.4535689211905058
2014-12-12,-1.6213587335965784
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,-0.6342586611898127
2014-12-16,-0.8489022887163578
2014-12-17,2.035241573284696
2014-12-18,2.401520473971619
2014-12-19,0.4570048934014581
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.3810463907886641
2014-12-23,0.1746361746361779
2014-12-24,-0.0139296538410715
2014-12-25,0.0
2014-12-26,0.3309574570383944
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,0.0861774542574522
2014-12-30,-0.4888604719738176
2014-12-31,-1.0310858415930158
2015-01-01,0.0
2015-01-02,-0.0339963672385534
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,-1.8278105145113743
2015-01-06,-0.8893471722946522
2015-01-07,1.162984267174294
2015-01-08,1.7888280629516196
2015-01-09,-0.8403811034715436
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,-0.8093685160912578
2015-01-13,-0.2578555236295576
2015-01-14,-0.5813067327385291
2015-01-15,-0.9247875921837956
2015-01-16,1.3424199395820402
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.1549952369838569
2015-01-21,0.4731623968765364
2015-01-22,1.5269721916580492
2015-01-23,-0.5491522439307173
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.2568460857030219
2015-01-27,-1.338786241041101
2015-01-28,-1.3495609366348305
2015-01-29,0.9534685287099888
2015-01-30,-1.2991965252009852
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,1.2962463710669558
2015-02-03,1.4439495293299576
2015-02-04,-0.4156046208831476
2015-02-05,1.0291406686777416
2015-02-06,-0.3418172314141876
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,-0.4247194360987749
2015-02-10,1.0675561019232394
2015-02-11,-0.0029033588675453
2015-02-12,0.9644506431775834
2015-02-13,0.4074738491730789
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.1597574462372852
2015-02-18,-0.0314309217733899
2015-02-19,-0.1062057333189647
2015-02-20,0.6126533626735764
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,-0.0303339195345975
2015-02-24,0.2758770892866691
2015-02-25,-0.0765723647508154
2015-02-26,-0.1476028227480719
2015-02-27,-0.2956304548757837
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.6124919257840311
2015-03-03,-0.45385421527393
2015-03-04,-0.438850348301556
2015-03-05,0.1196079984838727
2015-03-06,-1.4173946589881803
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,0.3944421191197644
2015-03-10,-1.696133008584244
2015-03-11,-0.1917679574870323
2015-03-12,1.2601439566208406
2015-03-13,-0.6074710968194674
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,1.3533671171787054
2015-03-17,-0.3320173700583018
2015-03-18,1.2158421402569175
2015-03-19,-0.4872579408787825
2015-03-20,0.9012754669798452
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,-0.174573104253517
2015-03-24,-0.6139421956948832
2015-03-25,-1.4558905652342855
2015-03-26,-0.2377499996742527
2015-03-27,0.2368561349514797
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,1.223664518739653
2015-03-31,-0.8795775050879251
2015-04-01,-0.3965371271123064
2015-04-02,0.35296669586522
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.660881512373579
2015-04-07,-0.2061904057862884
2015-04-08,0.2682533127767339
2015-04-09,0.4457481018385056
2015-04-10,0.5202865037342352
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,-0.458128059365126
2015-04-14,0.1629758874327702
2015-04-15,0.5148195696902835
2015-04-16,-0.0778443613424717
2015-04-17,-1.1311245518606403
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.9235131672624686
2015-04-21,-0.1480605325576256
2015-04-22,0.5087480356207541
2015-04-23,0.2357715893671175
2015-04-24,0.2252800575326619
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,-0.4141314249916261
2015-04-28,0.2769231695356478
2015-04-29,-0.3740335580798004
2015-04-30,-1.0128906614839228
2015-05-01,1.0923001659165044
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.2940748690645867
2015-05-05,-1.1837383677612334
2015-05-06,-0.4455724813014705
2015-05-07,0.3773813438832096
2015-05-08,1.3457901176364917
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,-0.5089560528435566
2015-05-12,-0.2949637684856787
2015-05-13,-0.0304954782486488
2015-05-14,1.0779286625573148
2015-05-15,0.0768413906680365
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,0.3047948049283322
2015-05-19,-0.0643374543626618
2015-05-20,-0.09305162517933
2015-05-21,0.2337874485413893
2015-05-22,-0.2233886303356413
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,-1.028198019783788
2015-05-27,0.9162641262365544
2015-05-28,-0.1266760897673413
2015-05-29,-0.6318469173072216
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.2059461282371222
2015-06-02,-0.1008596189948085
2015-06-03,0.2118871111207898
2015-06-04,-0.8623167576889856
2015-06-05,-0.1436182933524543
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,-0.6474509789282434
2015-06-09,0.0418353004221883
2015-06-10,1.2042424827124476
2015-06-11,0.173862641786715
2015-06-12,-0.6994299881765143
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,-0.4622572493653387
2015-06-16,0.56898566086796
2015-06-17,0.1979641302692014
2015-06-18,0.9902710578908236
2015-06-19,-0.530350174982186
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,0.6094866554531064
2015-06-23,0.0635868503911396
2015-06-24,-0.735329696164333
2015-06-25,-0.2973574300685566
2015-06-26,-0.039007964406712
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,-2.086619391956246
2015-06-30,0.2658489886146142
2015-07-01,0.6936040108400654
2015-07-02,-0.030802274079833
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,-0.3861756863082544
2015-07-07,0.608097510857486
2015-07-08,-1.6652749054007154
2015-07-09,0.2262202572609117
2015-07-10,1.2338485100151564
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,1.1066049239604414
2015-07-14,0.4453159211633695
2015-07-15,-0.0734986066058041
2015-07-16,0.8014680412562258
2015-07-17,0.1106182994042637
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,0.077123387202227
2015-07-21,-0.4261689361606979
2015-07-22,-0.2387709895206202
2015-07-23,-0.5676040278268291
2015-07-24,-1.070332804283558
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,-0.5775015185050969
2015-07-28,1.2386154626733423
2015-07-29,0.7318795346650031
2015-07-30,0.0028367306366794
2015-07-31,-0.2271519985995063
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,-0.2756886733696673
2015-08-04,-0.2249704779339723
2015-08-05,0.3114678748749488
2015-08-06,-0.775298528243118
2015-08-07,-0.2874882444434012
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,1.280816646644478
2015-08-11,-0.955710249815489
2015-08-12,0.0950054654500487
2015-08-13,-0.1275212093542199
2015-08-14,0.3911964108786803
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.521142418513576
2015-08-18,-0.2625530186397551
2015-08-19,-0.8254876246131082
2015-08-20,-2.1100170073477758
2015-08-21,-3.1850965718637547
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,-3.9413692866465566
2015-08-25,-1.352199497897244
2015-08-26,3.903385877450183
2015-08-27,2.429774862112533
2015-08-28,0.0608736361698447
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,-0.8391670369217286
2015-09-01,-2.95764466409868
2015-09-02,1.8292975004431389
2015-09-03,0.1164793545104458
2015-09-04,-1.532959572393222
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,2.508305358648033
2015-09-09,-1.389756050907287
2015-09-10,0.5277955033794246
2015-09-11,0.4487043210972707
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,-0.4089655710746709
2015-09-15,1.283131142251781
2015-09-16,0.8705414349693852
2015-09-17,-0.2561059320011938
2015-09-18,-1.6164165744279924
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.4565783605198437
2015-09-22,-1.2318429274285614
2015-09-23,-0.2048642890328245
2015-09-24,-0.3362984329369434
2015-09-25,-0.0465793285829518
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,-2.566609046896018
2015-09-29,0.1232853252514099
2015-09-30,1.9075555906861608
2015-10-01,0.1973884228037459
2015-10-02,1.4315289284541954
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,1.8289840800508328
2015-10-06,-0.3588236183088344
2015-10-07,0.8035633639867479
2015-10-08,0.8818435459823082
2015-10-09,0.0725111326717931
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.1275477207380637
2015-10-13,-0.6825423947869114
2015-10-14,-0.4716274198213854
2015-10-15,1.485277361914017
2015-10-16,0.4570474275370051
