date,target_tesla_change_volatility_next
2014-09-17,0.0
2014-09-18,
2014-09-19,
2014-09-20,
2014-09-21,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-27,
2014-09-28,
2014-09-29,
2014-09-30,
2014-10-01,
2014-10-02,
2014-10-03,
2014-10-04,
2014-10-05,
2014-10-06,
2014-10-07,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-11,
2014-10-12,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-18,
2014-10-19,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-25,
2014-10-26,
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,-0.221428889355757
2014-10-31,0.0601703624452332
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,-2.1119751925626877
2014-11-04,0.3419995730824965
2014-11-05,1.6666340122686751
2014-11-06,2.9520589409291143
2014-11-07,0.0188327735173077
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.0645363410474386
2014-11-11,2.0383452783078404
2014-11-12,-0.0714404220214404
2014-11-13,-3.1265784126727314
2014-11-14,0.8826243787341426
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,-0.2017379572961886
2014-11-18,0.3631163243677626
2014-11-19,2.4574572173441167
2014-11-20,-0.0460983537632797
2014-11-21,-10.15182649662406
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,-5.843689826803766
2014-11-25,-0.125300463842104
2014-11-26,-0.1682527391231203
2014-11-27,0.0
2014-11-28,0.097380082488363
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,6.701348612250668
2014-12-02,-0.3140442278080635
2014-12-03,-0.742850859674693
2014-12-04,-0.5910222274420063
2014-12-05,0.0126334666894933
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,3.2411072298716093
2014-12-09,-6.142241885950517
2014-12-10,-18.80881129178493
2014-12-11,-0.723446742129763
2014-12-12,-0.0917994214403528
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,-0.7842981921899583
2014-12-16,1.736533614395852
2014-12-17,6.3259948985939785
2014-12-18,8.164329986514574
2014-12-19,-5.240744359859784
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.8691758750748235
2014-12-23,-0.2123861482489442
2014-12-24,-4.361109161292354
2014-12-25,0.0
2014-12-26,2.2893865941179703
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,-0.4317863890133222
2014-12-30,-2.558671331494644
2014-12-31,-0.4665425728454853
2015-01-01,0.0
2015-01-02,-0.9030153551384368
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.7822786707905482
2015-01-06,0.109061097705343
2015-01-07,-1.0790644334080723
2015-01-08,-1.359150776022655
2015-01-09,0.1633625604220867
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.5471114580153813
