date,tesla_stockprice,tesla_volume,tesla_volatility
2014-09-17,17.42533302307129,77665500.0,0.0
2014-09-18,17.58799934387207,55389000.0,0.0
2014-09-19,17.288000106811523,102163500.0,0.0
2014-09-20,17.288000106811523,102163500.0,0.0
2014-09-21,17.288000106811523,102163500.0,0.0
2014-09-22,16.66866683959961,123211500.0,0.0
2014-09-23,16.694000244140625,84880500.0,0.0
2014-09-24,16.80933380126953,56242500.0,0.0
2014-09-25,16.463333129882812,72513000.0,0.0
2014-09-26,16.440000534057617,56931000.0,0.0
2014-09-27,16.440000534057617,56931000.0,0.0
2014-09-28,16.440000534057617,56931000.0,0.0
2014-09-29,16.35066795349121,72790500.0,0.0
2014-09-30,16.178667068481445,63574500.0,0.0
2014-10-01,16.016000747680664,89125500.0,0.0
2014-10-02,16.761333465576172,134973000.0,0.0
2014-10-03,17.013999938964844,81094500.0,0.0
2014-10-04,17.013999938964844,81094500.0,0.0
2014-10-05,17.013999938964844,81094500.0,0.0
2014-10-06,17.374666213989258,115699500.0,0.0
2014-10-07,17.30466651916504,67282500.0,0.0
2014-10-08,17.28533363342285,75826500.0,0.0
2014-10-09,17.134000778198242,110419500.0,0.0
2014-10-10,15.793999671936035,193324500.0,0.0
2014-10-11,15.793999671936035,193324500.0,0.0
2014-10-12,15.793999671936035,193324500.0,0.0
2014-10-13,14.97266674041748,169030500.0,0.0
2014-10-14,15.137332916259766,106579500.0,0.0
2014-10-15,15.313332557678224,137209500.0,0.0
2014-10-16,15.09000015258789,80989500.0,0.0
2014-10-17,15.165332794189451,158241000.0,0.0
2014-10-18,15.165332794189451,158241000.0,0.0
2014-10-19,15.165332794189451,158241000.0,0.0
2014-10-20,15.364666938781738,52416000.0,0.0
2014-10-21,15.689332962036133,61954500.0,0.0
2014-10-22,15.40666675567627,61749000.0,0.0
2014-10-23,15.685999870300291,52386000.0,0.0
2014-10-24,15.682666778564451,51949500.0,0.0
2014-10-25,15.682666778564451,51949500.0,0.0
2014-10-26,15.682666778564451,51949500.0,0.0
2014-10-27,14.777999877929688,143299500.0,0.0
2014-10-28,16.184667587280273,157744500.0,0.0
2014-10-29,15.873332977294922,74437500.0,0.0312898056734056
2014-10-30,15.910667419433594,48426000.0,0.0312205210042214
2014-10-31,16.113332748413086,56629500.0,0.0312393065048669
2014-11-01,16.113332748413086,56629500.0,0.0312393065048669
2014-11-02,16.113332748413086,56629500.0,0.0312393065048669
2014-11-03,16.172666549682617,63057000.0,0.0305795401011555
2014-11-04,15.928667068481444,55239000.0,0.030684121997752
2014-11-05,15.39799976348877,135688500.0,0.0311955140113326
2014-11-06,16.08133316040039,230320500.0,0.0321164239718729
2014-11-07,16.01333236694336,77415000.0,0.0321224723852614
2014-11-08,16.01333236694336,77415000.0,0.0321224723852614
2014-11-09,16.01333236694336,77415000.0,0.0321224723852614
2014-11-10,16.1286678314209,68658000.0,0.0321432030535928
2014-11-11,16.738666534423828,119232000.0,0.0327983925153326
