date,bitcoin_stockprice,bitcoin_volume,bitcoin_volatility
2014-09-17,457.3340148925781,21056800,0.0
2014-09-18,424.4400024414063,34483200,0.0
2014-09-19,394.7959899902344,37919700,0.0
2014-09-20,408.9039916992188,36863600,0.0
2014-09-21,398.8210144042969,26580100,0.0
2014-09-22,402.1520080566406,24127600,0.0
2014-09-23,435.7909851074219,45099500,0.0
2014-09-24,423.2049865722656,30627700,0.0
2014-09-25,411.5740051269531,26814400,0.0
2014-09-26,404.4249877929688,21460800,0.0
2014-09-27,399.5199890136719,15029300,0.0
2014-09-28,377.1809997558594,23613300,0.0
2014-09-29,375.4670104980469,32497700,0.0
2014-09-30,386.9440002441406,34707300,0.0
2014-10-01,383.614990234375,26229400,0.0
2014-10-02,375.0719909667969,21777700,0.0
2014-10-03,359.5119934082031,30901200,0.0
2014-10-04,328.8659973144531,47236500,0.0
2014-10-05,320.510009765625,83308096,0.0
2014-10-06,330.0790100097656,79011800,0.0
2014-10-07,336.18701171875,49199900,0.0
2014-10-08,352.94000244140625,54736300,0.0
2014-10-09,365.0260009765625,83641104,0.0
2014-10-10,361.56201171875,43665700,0.0
2014-10-11,362.2990112304688,13345200,0.0
2014-10-12,378.5490112304688,17552800,0.0
2014-10-13,390.41400146484375,35221400,0.0
2014-10-14,400.8699951171875,38491500,0.0
2014-10-15,394.7730102539063,25267100,0.0
2014-10-16,382.5559997558594,26990000,0.0
2014-10-17,383.7579956054688,13600700,0.0394262083751515
2014-10-18,391.4419860839844,11416800,0.0374658219172854
2014-10-19,389.5459899902344,5914570,0.0350865477639175
2014-10-20,382.8450012207031,16419000,0.034556612586796
2014-10-21,386.4750061035156,14188900,0.034345043469015
2014-10-22,383.1579895019531,11641300,0.0343249837388329
2014-10-23,358.4169921875,26456900,0.0326816830298075
2014-10-24,358.3450012207031,15585700,0.0324126987508094
2014-10-25,347.27099609375,18127500,0.0325026193245737
2014-10-26,354.7040100097656,11272500,0.0327824844919071
2014-10-27,352.989013671875,13033000,0.0327493953265357
2014-10-28,357.6180114746094,7845880,0.0312822312844055
2014-10-29,335.59100341796875,18192700,0.0332564713796265
2014-10-30,345.30499267578125,30177900,0.033202405524447
2014-10-31,338.3210144042969,12545400,0.0333313018317959
2014-11-01,325.7489929199219,16677200,0.0337376653493015
2014-11-02,325.8919982910156,8603620,0.0329863627181088
2014-11-03,327.5539855957031,12948500,0.0287457709133744
2014-11-04,330.49200439453125,15655500,0.0283754340615436
2014-11-05,339.4859924316406,19817200,0.0282905537290601
2014-11-06,349.2900085449219,18797000,0.0285646511814539
2014-11-07,342.4150085449219,16834200,0.0273613565789042
2014-11-08,345.4880065917969,8535470,0.0266435421184853
2014-11-09,363.2640075683594,24205600,0.0282311367421884
2014-11-10,366.9240112304688,30450100,0.0282870990852355
2014-11-11,367.6950073242188,15838900,0.027076597714957
2014-11-12,423.5610046386719,45783200,0.0371955869782046
2014-11-13,420.7349853515625,58945000,0.0369582782182368
2014-11-14,397.8179931640625,29589200,0.0383224016039247
2014-11-15,376.1329956054688,15727500,0.0392760293725757
2014-11-16,387.8819885253906,11905600,0.0396873865373877
2014-11-17,387.4079895019531,41518800,0.0395170236367042
2014-11-18,375.197998046875,32222500,0.0399330839717505
2014-11-19,380.5549926757813,18931800,0.0399096089809599
2014-11-20,357.8399963378906,25233200,0.0413950236200975
2014-11-21,350.8479919433594,29850100,0.0415006554066636
2014-11-22,352.9200134277344,15273000,0.0397303932273489
2014-11-23,367.572998046875,15151600,0.040436368074562
2014-11-24,376.9010009765625,30930100,0.0401972023908859
2014-11-25,375.3479919433594,25442200,0.0400620031979463
2014-11-26,368.3699951171875,18601700,0.0402229371111655
2014-11-27,369.6700134277344,8748030,0.0401657519623558
2014-11-28,376.4469909667969,22946500,0.0383588357131678
2014-11-29,375.4909973144531,15375600,0.0380873139576983
2014-11-30,378.0469970703125,9194440,0.0378383250356595
2014-12-01,379.2449951171875,11763000,0.0370165969487724
2014-12-02,381.3150024414063,12364100,0.037006289091918
2014-12-03,375.010009765625,13340100,0.0372219212177855
2014-12-04,369.60400390625,14529600,0.0373718359551954
2014-12-05,376.85400390625,15181800,0.0372377807126122
2014-12-06,374.7850036621094,7009320,0.0369672454141656
2014-12-07,375.0950012207031,6491650,0.0367304751311901
2014-12-08,361.9089965820313,18898700,0.0373846108898931
2014-12-09,352.218994140625,32915500,0.0365730715726587
2014-12-10,346.364990234375,16427700,0.0366208189374283
2014-12-11,350.5060119628906,32431300,0.0367013641691728
2014-12-12,352.5419921875,16989800,0.0249437867764254
2014-12-13,347.3760070800781,11675900,0.0249936579669504
2014-12-14,351.6319885253906,12415200,0.023373355339074
2014-12-15,345.3450012207031,17264200,0.0214084607202638
2014-12-16,327.06201171875,30864900,0.022420353859701
2014-12-17,319.7760009765625,37567900,0.0226107786251569
2014-12-18,311.39599609375,39173000,0.0224182396658903
2014-12-19,317.8429870605469,23823100,0.0226448097659578
2014-12-20,329.9559936523437,20856700,0.0214503970862663
2014-12-21,320.8429870605469,15207600,0.0217283073401895
2014-12-22,331.885986328125,22315100,0.0226992765534405
2014-12-23,334.5719909667969,16574200,0.0213213723083318
2014-12-24,322.53399658203125,15092300,0.0214831609247222
2014-12-25,319.00799560546875,9883640,0.0215079758035905
