date,target_sp500_change_volatility_next
2015-04-16,-0.5172080289772341
2015-04-17,3.3725946783531136
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,-3.196185154069142
2015-04-21,-0.2527351246163656
2015-04-22,-8.491224777958273
2015-04-23,-0.2465676892908552
2015-04-24,-4.427130030402903
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,-0.8423169383604656
2015-04-28,-5.9745364320936805
2015-04-29,0.1421805676443677
2015-04-30,-1.493816181576757
2015-05-01,3.88951917450906
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,-2.784719872804664
2015-05-05,5.590299527267217
2015-05-06,-0.6502823994588902
2015-05-07,-8.14577138691882
2015-05-08,6.59263737651643
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,1.295902726113396
2015-05-12,-4.969231445475309
2015-05-13,-3.6568293584765432
2015-05-14,3.5153287233669284
2015-05-15,-0.2878955208343692
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,-1.2304470576291693
2015-05-19,-0.2709324830499904
2015-05-20,-0.0378358982733084
2015-05-21,-0.5162197539538727
2015-05-22,-0.6547756198280297
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,3.986776746844956
2015-05-27,3.1564435689383386
2015-05-28,-0.8189251375258944
2015-05-29,1.64276175553153
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,-5.307491075714788
2015-06-02,-3.416257110747145
2015-06-03,0.0375846579036887
2015-06-04,2.319619271734541
2015-06-05,-0.2418620351295475
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,1.2913911904439246
2015-06-09,-0.5328427482377607
2015-06-10,6.052067383107596
2015-06-11,-0.4078807201230217
2015-06-12,-2.197091572253085
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,-4.239456846176815
2015-06-16,1.1391812904476772
2015-06-17,-6.204177604241279
2015-06-18,3.222539052902307
2015-06-19,1.084904611309789
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,-6.592731269856589
2015-06-23,-1.4859217105015254
2015-06-24,2.56230366417074
2015-06-25,0.4815850180732273
2015-06-26,-6.212211445391258
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,21.76474445372536
2015-06-30,-0.1187964677220931
2015-07-01,2.385470703261072
2015-07-02,0.0079173660233466
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,-0.053481504309194
2015-07-07,1.7066878994800971
2015-07-08,5.811504531818845
2015-07-09,-3.0417515163723263
2015-07-10,5.830021178753642
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,2.892980207174567
2015-07-14,0.4619602541987122
2015-07-15,-0.0131546638264423
2015-07-16,1.6735548360670371
2015-07-17,-2.2606402812631043
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,-0.1105102182806683
2015-07-21,-0.7819868034178667
2015-07-22,0.2624903336764905
2015-07-23,-3.0703063733442337
2015-07-24,3.294667338299706
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,-0.4326218724688524
2015-07-28,3.9369536067246136
2015-07-29,0.5616418158581826
2015-07-30,-0.0893539898283446
2015-07-31,-2.5907192469507567
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,-0.5616394981164285
2015-08-04,-1.09153614884695
2015-08-05,0.3376524359611776
2015-08-06,0.170930595598695
2015-08-07,-0.0147577568480494
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,4.786315823597209
2015-08-11,-10.106349913501855
2015-08-12,-0.1591867893078635
2015-08-13,-1.4199147620287955
2015-08-14,0.4699958122096337
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.1704208477485647
2015-08-18,-0.7811032705059007
2015-08-19,-7.865654068511995
2015-08-20,17.018066582338086
2015-08-21,21.56608720799977
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,22.14790267866007
2015-08-25,0.4036411225306624
2015-08-26,20.846797864877665
2015-08-27,5.254299840425025
2015-08-28,-0.025178123052949
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.2179349570534672
2015-09-01,5.810080683646812
2015-09-02,3.2263154912803405
2015-09-03,0.0315493009381606
2015-09-04,0.675513241443837
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,4.69770724867542
2015-09-09,-0.3965005107054775
2015-09-10,-0.2226410759704422
2015-09-11,0.2635552479128833
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0167159738319933
2015-09-15,1.381660366976556
2015-09-16,0.656639686126459
2015-09-17,-0.1332347776596076
2015-09-18,1.0249225110263491
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.2425727194645288
2015-09-22,-0.7085562647465293
2015-09-23,-0.2947436283261662
2015-09-24,-0.065408974236214
2015-09-25,0.0161169301966968
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,2.820507509115666
2015-09-29,-0.3046972153197047
2015-09-30,2.752987823522668
2015-10-01,-0.043225121793311
2015-10-02,-0.5952216798220444
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,-3.6681585770256375
2015-10-06,-10.316516888467644
2015-10-07,-1.479250690628664
2015-10-08,-10.18944497371118
2015-10-09,-5.1284760831007965
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0065735173235381
2015-10-13,-0.2661397949088262
2015-10-14,-10.156908755027704
2015-10-15,-1.3273268334803023
2015-10-16,0.1389191364465913
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,-3.902256389321712
2015-10-20,-7.9658461527627455
2015-10-21,-3.094952749290936
2015-10-22,3.7208782408308494
2015-10-23,1.2813318850060762
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,-0.3508923361199345
2015-10-27,-1.7178769195124175
2015-10-28,0.91419978138243
2015-10-29,-0.2182634207270828
2015-10-30,-4.871290640525261
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,1.610657634317425
2015-11-03,-4.054776765396673
2015-11-04,0.3223087067963037
2015-11-05,-0.4322113087696477
2015-11-06,-0.0146800808047742
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,-14.218051913575936
2015-11-10,-0.0286793595331569
2015-11-11,-5.898213327737045
2015-11-12,7.761864601668589
2015-11-13,0.2044761765276792
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,-2.6565547553697555
2015-11-17,-0.4406831879592565
2015-11-18,4.602782632452218
2015-11-19,-1.275299574024602
2015-11-20,0.1748951346079996
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,0.1468891078624468
2015-11-24,-1.68911497780585
2015-11-25,-0.9496183535832924
2015-11-26,0.0
2015-11-27,-4.960194354691239
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.5282225258853357
2015-12-01,2.711947221177202
2015-12-02,3.795235607385639
2015-12-03,4.723889622515531
2015-12-04,3.174902603243845
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,-1.323694394554198
2015-12-08,0.8692588467672513
2015-12-09,1.1500650914661348
2015-12-10,-3.1621038217412134
2015-12-11,7.835094391556785
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.4041331009413618
2015-12-15,-0.6019200030434546
2015-12-16,4.311077660036644
2015-12-17,3.620834762384306
2015-12-18,4.703994234201536
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,1.290888202213636
2015-12-22,0.2317802978375471
2015-12-23,2.414202276381161
2015-12-24,-0.1029449408794791
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,-2.857659384130073
2015-12-29,-0.5985938923557699
2015-12-30,-2.261738279308001
2015-12-31,1.432724036049171
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,-0.9414567675449016
2016-01-05,0.1570074300083046
2016-01-06,1.834632320289642
2016-01-07,7.267542323443576
2016-01-08,0.7399974846411084
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0819201154782733
2016-01-12,1.2951676939562562
2016-01-13,6.297631540372395
2016-01-14,2.252059420882424
2016-01-15,3.09841332410552
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,-1.2084984668006782
2016-01-20,-5.3598614325966025
2016-01-21,0.8069002821344373
2016-01-22,5.932514286106638
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,1.4823300495483416
2016-01-26,2.5474366306689644
2016-01-27,-2.174059676043305
2016-01-28,0.1128820571907995
2016-01-29,5.268247285773908
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,-2.4293657354418463
2016-02-02,1.0471317542467329
2016-02-03,-1.9440316114173408
2016-02-04,-0.7622553278125443
2016-02-05,1.435821542912996
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,-1.116188241698901
2016-02-09,0.0445461000204927
2016-02-10,0.0907408807184539
2016-02-11,-1.3348985742808628
2016-02-12,5.097571251656241
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,2.946129904912409
2016-02-17,1.314952963153737
2016-02-18,-0.0256651295784671
2016-02-19,-1.135553153776392
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,-2.7887296509487847
2016-02-23,0.344353723313251
2016-02-24,0.1656818498541712
2016-02-25,0.5837936001276578
2016-02-26,-6.028022215801155
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,-1.794146665106322
2016-03-01,-0.0567909765492924
2016-03-02,0.0408520059222317
2016-03-03,-1.975090658555234
2016-03-04,-0.0790273361894966
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,-3.5986795813362398
2016-03-08,-1.5861118799425422
2016-03-09,-1.7234035170302864
2016-03-10,-1.950665556563336
2016-03-11,2.4293249797346705
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,-6.420519376819655
2016-03-15,0.0960567800789125
2016-03-16,-5.917317438890812
2016-03-17,0.1835434948312064
2016-03-18,0.0680694524511249
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,-7.327685654027949
2016-03-22,-5.392237585656801
2016-03-23,1.585745679927375
2016-03-24,0.0258639742243937
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,-4.881077059783035
2016-03-29,-5.049609968094593
2016-03-30,-4.384388326737776
2016-03-31,-4.627526088208056
2016-04-01,-1.0265769165900385
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,0.7877647774393592
2016-04-05,-0.0038973141683773
2016-04-06,-4.262735358897274
2016-04-07,6.116374792956858
2016-04-08,-2.5959503826080037
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,0.20340833570478
2016-04-12,-1.2131377139791175
2016-04-13,-13.2492852227021
2016-04-14,-0.1548127600552229
2016-04-15,0.0913155607917604
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.8950995013107255
2016-04-19,0.0718539722335709
2016-04-20,-7.080925271708038
2016-04-21,1.8099750180356369
2016-04-22,0.0151030817912012
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,-9.952336770222136
2016-04-26,-0.2804467541672073
2016-04-27,-0.5117741844251844
2016-04-28,4.681010658845564
2016-04-29,-0.1826775022953475
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,1.9335607151127032
2016-05-03,3.9559592137318633
2016-05-04,1.6188524448603747
2016-05-05,-1.896875677698029
2016-05-06,0.3608323013912784
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0056992095842867
2016-05-10,3.312125305061997
2016-05-11,3.367187832347973
2016-05-12,-0.1715315775690395
2016-05-13,1.0943217204719469
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,3.475084568723097
2016-05-17,-0.5358679228446794
2016-05-18,-4.240465837117258
2016-05-19,-5.335310437511442
2016-05-20,1.259999216400498
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,-0.1444841413703157
2016-05-24,3.929984091969585
2016-05-25,-2.0788541365861724
2016-05-26,0.0046390344785818
2016-05-27,0.6439255276992517
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,-1.6519757941989677
2016-06-01,-0.3553015606078014
2016-06-02,0.320324826821361
2016-06-03,-0.8295172465621281
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.9639086416254772
2016-06-07,-0.1608391881931514
2016-06-08,0.2711762930532213
2016-06-09,0.120479461165468
2016-06-10,-0.0463635544893259
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,1.8116982230299337
2016-06-14,-2.366712392122028
2016-06-15,-3.235146976619674
2016-06-16,-1.4492497607160315
2016-06-17,0.6190013713381681
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,1.0169916358307551
2016-06-21,0.2323254083338222
2016-06-22,-6.9170138013953775
2016-06-23,3.454103105504358
2016-06-24,53.290084462922806
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,5.1693073371684495
2016-06-28,4.237571723883216
2016-06-29,3.4589332110538384
2016-06-30,2.69952963506388
2016-07-01,-0.3201413506240702
2016-07-02,0.0
