date,target_sp500_change_volume_next
2014-09-17,0.0
2014-09-18,0.8076225610857968
2014-09-19,50.84102443638072
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,-31.36231563331161
2014-09-23,-2.0993112754390757
2014-09-24,1.05203775138365
2014-09-25,-1.2311963426226311
2014-09-26,-10.498159209300194
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,5.632475831558259
2014-09-30,27.683845865487772
2014-10-01,6.010731188782881
2014-10-02,-4.203801279189412
2014-10-03,-11.253305287712678
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,-5.6936733530470685
2014-10-07,9.816212160013338
2014-10-08,20.445948474322574
2014-10-09,-2.203341370452672
2014-10-10,4.754121758187124
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,-4.350252937014066
2014-10-14,10.555348781642149
2014-10-15,26.574965554934412
2014-10-16,-16.70798581467131
2014-10-17,-11.650158185742589
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,-25.677804253344394
2014-10-21,19.68894185596224
2014-10-22,-5.647226423281138
2014-10-23,0.7262229759724459
2014-10-24,-18.76017681599261
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,14.95851714213321
2014-10-28,3.232679450444498
2014-10-29,2.38389821693501
2014-10-30,-4.122608846765674
2014-10-31,19.69075470908914
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,-17.166827031724317
2014-11-04,11.273428886438808
2014-11-05,-4.794174295925946
2014-11-06,-2.5704947976817216
2014-11-07,0.9403859097436572
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,-11.320418542874734
2014-11-11,-9.942951773852792
2014-11-12,9.74641012466535
2014-11-13,6.425700337270723
2014-11-14,-6.602667808883245
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,-2.300496106447525
2014-11-18,8.351068384878646
2014-11-19,-0.7417620214332343
2014-11-20,-7.743191235236003
2014-11-21,25.19363613987193
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,-20.12960816255662
2014-11-25,8.467868263396472
2014-11-26,-19.089049614788355
2014-11-27,0.0
2014-11-28,-8.764925726524996
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,66.05220710361567
2014-12-02,-11.357510561407649
2014-12-03,-2.006428600490961
2014-12-04,-5.65618875737679
2014-12-05,0.3309528978916454
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,11.15240874717074
2014-12-09,4.450419495973423
2014-12-10,3.634371497298594
2014-12-11,-4.775619525378905
2014-12-12,6.117995380237118
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,4.9147956177167496
2014-12-16,13.679306921840716
2014-12-17,-0.3289181798381779
2014-12-18,-4.835534369138694
2014-12-19,37.46560983803138
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,-47.88486017387592
2014-12-23,-9.662207079940169
2014-12-24,-53.44930107261946
2014-12-25,0.0
2014-12-26,22.45973831670172
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,41.32766261533054
2014-12-30,-0.4925867327798539
2014-12-31,6.793892504138865
2015-01-01,0.0
2015-01-02,3.938113711450586
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,40.25621146675527
2015-01-06,17.39850281117732
2015-01-07,-14.67744069092466
2015-01-08,3.37749771382323
2015-01-09,-14.485728302673351
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,2.7442377546713197
2015-01-13,18.829669662024152
2015-01-14,6.607260243955881
2015-01-15,-2.328555637772112
2015-01-16,-5.15137769131484
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,-2.7627877852583915
2015-01-21,-5.432341025367993
2015-01-22,11.956343982820703
2015-01-23,-14.427269788436435
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,-3.016599693303035
2015-01-27,-3.922660541987899
2015-01-28,22.15501785387155
2015-01-29,1.465508551872996
2015-01-30,10.697722878312833
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,-12.264454488743937
2015-02-03,15.157684122814242
2015-02-04,-10.26842002643038
2015-02-05,-7.724195542164026
2015-02-06,10.753037030447498
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,-16.14540145571549
