date,target_tesla_change_stockprice_next
2014-09-17,0.0
2014-09-18,0.9335048035260528
2014-09-19,-1.7057041633622203
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,-3.582445993668726
2014-09-23,0.1519821878065874
2014-09-24,0.6908683086271461
2014-09-25,-2.058384201761687
2014-09-26,-0.1417246170087205
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,-0.5433855089076345
2014-09-30,-1.051950204719554
2014-10-01,-1.0054370988181185
2014-10-02,4.653675593786688
2014-10-03,1.5074365885482166
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,2.119820596674793
2014-10-07,-0.4028836811141634
2014-10-08,-0.1117206489982147
2014-10-09,-0.8754986072816884
2014-10-10,-7.820713466800234
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,-5.200284592749238
2014-10-14,1.0997785411050565
2014-10-15,1.162685939406205
2014-10-16,-1.458418043552201
2014-10-17,0.4992222719669259
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,1.3144066622043482
2014-10-21,2.113069059993156
2014-10-22,-1.8016457872609195
2014-10-23,1.8130665059079565
2014-10-24,-0.0212488318462322
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,-5.768578223387944
2014-10-28,9.518660989105744
2014-10-29,-1.9236391993001645
2014-10-30,0.2352022867035952
2014-10-31,1.2737701294161408
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,0.3682279898016505
2014-11-04,-1.5087152168234197
2014-11-05,-3.3315236153232286
2014-11-06,4.437806256705623
2014-11-07,-0.4228554484803526
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.720246491077825
2014-11-11,3.7820774125843615
2014-11-12,-0.788593100955548
2014-11-13,1.0437622808061375
2014-11-14,2.773134756903417
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,-1.8169177508961187
2014-11-18,1.4646888155828597
2014-11-19,-3.864956610594905
2014-11-20,0.391539992246348
2014-11-21,-2.3843083752586147
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,1.622868668699251
2014-11-25,0.5552856854110999
2014-11-26,0.1410849076513232
2014-11-27,0.0
2014-11-28,-1.5778579595025488
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,-5.267455698428614
2014-12-02,-0.090657520220394
2014-12-03,-0.9203659508237204
2014-12-04,-0.4448310436831915
2014-12-05,-2.001932706932097
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,-4.179515862877037
2014-12-09,1.180258727981931
2014-12-10,-3.250497470272151
2014-12-11,-0.4574923550736298
2014-12-12,-0.900034721817955
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,-1.4299516894858533
2014-12-16,-3.053325883044977
2014-12-17,4.049336122183522
2014-12-18,6.044123309512317
2014-12-19,0.4719127929382782
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,1.5094182569247885
2014-12-23,-0.7322599227755133
2014-12-24,0.5837926805094318
2014-12-25,0.0
2014-12-26,2.5015736527408405
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,-0.926171742255244
2014-12-30,-1.541797479470497
2014-12-31,0.0809977313811938
2015-01-01,0.0
