date,sp500_stockprice_sma_5,sp500_stockprice_sma_10,sp500_stockprice_sma_20,sp500_stockprice_sma_50,sp500_stockprice_sma_100,sp500_stockprice_ema_12,sp500_stockprice_ema_26,sp500_stockprice_macd_line,sp500_stockprice_macd_signal,sp500_stockprice_macd_hist,sp500_stockprice_rsi_14,sp500_stockprice_bb_mean_20,sp500_stockprice_bb_upper_20,sp500_stockprice_bb_lower_20,sp500_atr_14,sp500_pdi_14,sp500_mdi_14,sp500_dx_14,sp500_adx_14,sp500_stoch_k_14,sp500_stoch_d_3,sp500_obv,sp500_stockprice_momentum_7,sp500_stockprice_roc_7,sp500_stockprice_momentum_21,sp500_stockprice_roc_21,sp500_mfi_14,sp500_volatility_std_10,sp500_avg_volume_20,sp500_volume_spike_20
2014-09-17,2001.5699462890625,2001.5699462890625,2001.5699462890625,2001.5699462890625,2001.5699462890625,2001.5699462890625,2001.5699462890625,0.0,0.0,0.0,,2001.5699462890625,,,17.449951171875,,,,,47.449457852395945,47.449457852395945,0.0,,,,,,,3209420000.0,1.0
2014-09-18,2006.4649658203125,2006.4649658203125,2006.4649658203125,2006.4649658203125,2006.4649658203125,2003.076106144832,2002.2951343677664,0.780971777065588,0.1561943554131176,0.6247774216524704,,2006.4649658203125,2020.3101718386624,1992.6197598019623,16.972813197544642,9.426696489942865,-0.0,100.0,100.0,94.8557257924989,71.15259182244742,3235340000.0,,,,,100.0,0.0,3222380000.0,1.004021872032473
2014-09-19,2007.7766520182288,2007.7766520182288,2007.7766520182288,2007.7766520182288,2007.7766520182288,2004.2028628016365,2002.8954965934176,1.307366208218582,0.3864287259742104,0.9209374822443714,,2007.7766520182288,2018.5697569017616,1996.983547134697,16.66547253667092,11.880734040953389,-0.0,100.0,100.0,65.88372989386404,69.39630451291963,-1644880000.0,,,,,100.0,0.0,3774993333.3333335,1.292775792981533
2014-09-20,2008.4324951171875,2008.4324951171875,2008.4324951171875,2008.4324951171875,2008.4324951171875,2005.1562722804715,2003.4513875430955,1.7048847373760054,0.6501199282545695,1.054764809121436,,2008.4324951171875,2017.627212336612,1999.2377778977632,16.66547253667092,11.880734040953389,-0.0,100.0,100.0,65.88372989386404,75.54106186007566,-1644880000.0,,,,,100.0,0.0,4051300000.0,1.2046059289610742
2014-09-21,2008.8260009765625,2008.8260009765625,2008.8260009765625,2008.8260009765625,2008.8260009765625,2005.963003377947,2003.9661013853893,1.996901992557696,0.9194763411151948,1.0774256514425011,,2008.8260009765625,2016.981002864124,2000.6709990890008,16.66547253667092,11.880734040953389,-0.0,100.0,100.0,65.88372989386404,65.88372989386404,-1644880000.0,,,,,100.0,0.0,4217084000.0,1.1572498911570175
2014-09-22,2007.37001953125,2006.403340657552,2006.403340657552,2006.403340657552,2006.403340657552,2004.167162714032,2003.2493560281384,0.9178066858939928,0.9191424100709544,-0.0013357241769615,,2006.403340657552,2020.3340993282163,1992.472581986888,16.888627678294924,11.723749889368742,-0.0,100.0,100.0,11.61072317477876,47.79272765416895,-4994550000.0,,,,,100.0,0.0,4072515000.0,0.8225064855500839
2014-09-23,2001.6520263671875,2003.0271519252235,2003.0271519252235,2003.0271519252235,2003.0271519252235,2000.8752945320657,2001.73236813948,-0.8570736074141223,0.5638992065739391,-1.4209728139880613,,2003.0271519252235,2024.9562172859137,1981.0980865645329,16.585155319019393,10.891835268987087,4.354893642343516,42.87438744835061,95.91959910345362,0.0,25.831484356214265,-8273900000.0,,,,,71.46476221361642,0.0,3959205714.285714,0.8282848219195481
2014-09-24,1999.23203125,2002.436264038086,2002.436264038086,2002.436264038086,2002.436264038086,2000.4791028853056,2001.4781222645647,-0.9990193792591526,0.2513154894073207,-1.2503348686664737,,2002.436264038086,2023.011952564936,1981.860575511236,16.91193238049569,11.768346079059093,3.9656938063610654,49.59090182508244,92.61040644071282,48.41260541820269,20.007776197660483,-4960050000.0,-3.2698974609375,-0.1633666346259832,,,77.86451326436207,0.0,3878536250.0,0.8544073811350867
2014-09-25,1990.3500244140623,1998.386678059896,1998.386678059896,1998.386678059896,1998.386678059896,1995.173085554393,1998.84937174381,-3.676286189416942,-0.5342048463575317,-3.1420813430594103,,1998.386678059896,2029.3835870343537,1967.3897690854376,18.011798538585282,10.26046163577766,8.47016055179568,9.558150637247602,86.67810245475103,0.0,16.137535139400896,-8233100000.0,-45.3699951171875,-2.25568746756476,,,63.83610860619487,0.0,3811260000.0,0.8587842340853156
2014-09-26,1984.840014648437,1996.8330078125,1996.8330078125,1996.8330078125,1996.8330078125,1993.277222482323,1997.664231287672,-4.387008805348387,-1.304765638155703,-3.082243167192684,,1996.8330078125,2027.6649316961743,1966.0010839288257,18.180956134601512,9.43892595584917,7.791970880118637,9.558150637247598,81.1695344677865,31.65004537246628,26.68755026355632,-5303660000.0,-27.550048828125227,-1.3703764670493723,,,68.86227691047884,0.0,3723078000.0,0.7868328302549664
