date,target_bitcoin_change_volume_next
2014-09-17,0.0
2014-09-18,63.762774970555824
2014-09-19,9.965722438752778
2014-09-20,-2.7850958736487907
2014-09-21,-27.896081771720617
2014-09-22,-9.226827589060992
2014-09-23,86.92078781146901
2014-09-24,-32.0886040865198
2014-09-25,-12.450494160514824
2014-09-26,-19.96539172981681
2014-09-27,-29.9685939014389
2014-09-28,57.11510183441677
2014-09-29,37.62455904087951
2014-09-30,6.799250408490454
2014-10-01,-24.426849682919727
2014-10-02,-16.97217626022708
2014-10-03,41.89377206959413
2014-10-04,52.86299561182091
2014-10-05,76.36382035078806
2014-10-06,-5.1571170225760525
2014-10-07,-37.730946516849386
2014-10-08,11.252868400139016
2014-10-09,52.807376457670685
2014-10-10,-47.79396981656292
2014-10-11,-69.43779671458377
2014-10-12,31.528939244072784
2014-10-13,100.65972380474908
2014-10-14,9.284412317511514
2014-10-15,-34.35667614927971
2014-10-16,6.818748491120874
2014-10-17,-49.608373471656165
2014-10-18,-16.057261758585952
2014-10-19,-48.19415247705137
2014-10-20,177.60259832921074
2014-10-21,-13.58243498386016
2014-10-22,-17.95488022327312
2014-10-23,127.26757320917766
2014-10-24,-41.09022599019537
2014-10-25,16.30853923789115
2014-10-26,-37.815473727761685
2014-10-27,15.617653581725444
2014-10-28,-39.7998925803729
2014-10-29,131.8758380194446
2014-10-30,65.87917131596738
2014-10-31,-58.42851888302367
2014-11-01,32.934780875858884
2014-11-02,-48.41088432110906
2014-11-03,50.50060323445247
2014-11-04,20.90589643588061
2014-11-05,26.58299000351314
2014-11-06,-5.148053206305637
2014-11-07,-10.442091823163269
2014-11-08,-49.29684808306899
2014-11-09,183.58836713151123
2014-11-10,25.79774928115808
2014-11-11,-47.98407887002013
2014-11-12,189.05542682888333
2014-11-13,28.748099739642495
2014-11-14,-49.80201883111375
2014-11-15,-46.84716045043462
2014-11-16,-24.30074709903036
2014-11-17,248.7333691708104
2014-11-18,-22.39057968920104
2014-11-19,-41.2466444254791
2014-11-20,33.28473784848774
2014-11-21,18.296926271737245
2014-11-22,-48.83434226351
2014-11-23,-0.7948667583316915
2014-11-24,104.13751682990578
2014-11-25,-17.74291062751171
2014-11-26,-26.88643277703973
2014-11-27,-52.97187891429278
2014-11-28,162.30477033114883
2014-11-29,-32.993702743337764
2014-11-30,-40.2010978433362
2014-12-01,27.936013503813182
2014-12-02,5.110090963189662
2014-12-03,7.893821628747744
2014-12-04,8.916724762183193
2014-12-05,4.488767756854961
2014-12-06,-53.83077105481564
2014-12-07,-7.385452511798574
2014-12-08,191.1232121263469
2014-12-09,74.16806447004292
2014-12-10,-50.09129437499051
2014-12-11,97.41838480128077
2014-12-12,-47.61295415231582
2014-12-13,-31.27700149501465
2014-12-14,6.331845939071079
2014-12-15,39.05696243314647
2014-12-16,78.77978707382908
2014-12-17,21.7172257159427
2014-12-18,4.272530538039132
2014-12-19,-39.18489776121308
2014-12-20,-12.451779995046818
2014-12-21,-27.085301126256788
2014-12-22,46.73650017096716
2014-12-23,-25.726525984647164
2014-12-24,-8.941004694042554
2014-12-25,-34.51203593885624
2014-12-26,66.03700660890117
2014-12-27,-7.46656104323451
2014-12-28,-23.1053920923004
2014-12-29,5.360293236044744
2014-12-30,1.8353993090835183
2014-12-31,11.29123664024647
2015-01-01,-42.360986595328086
2015-01-02,-2.1887501477624083
2015-01-03,320.5046656446986
2015-01-04,68.2955975603853
2015-01-05,-20.9715778252749
2015-01-06,-47.12415951668228
2015-01-07,6.973762889480639
2015-01-08,-19.6418517863175
2015-01-09,-6.325034405104468
2015-01-10,-18.4538373596316
2015-01-11,19.23769842049749
2015-01-12,3.7333523801151625
2015-01-13,285.81963210330343
2015-01-14,34.038263517562164
2015-01-15,-16.248884253932736
2015-01-16,-53.01534345403616
2015-01-17,-38.914395773144896
2015-01-18,28.18698151233292
2015-01-19,-37.98159221674516
2015-01-20,28.90295471720361
2015-01-21,24.4209204568606
2015-01-22,12.097070637535667
2015-01-23,-26.600108512249363
2015-01-24,0.6530824435355909
2015-01-25,35.50973469181882
2015-01-26,218.00301941178049
2015-01-27,-58.42556697941832
2015-01-28,-0.1054077794544916
2015-01-29,-27.36910457654863
2015-01-30,-17.409525228631562
2015-01-31,-12.241967735630633
2015-02-01,24.7569405778604
2015-02-02,5.093293509792818
2015-02-03,33.22738394295066
2015-02-04,-34.79184085798983
2015-02-05,-15.33373692858996
2015-02-06,8.522232683732756
2015-02-07,-11.586106984567412
2015-02-08,-20.63950528138048
2015-02-09,62.09376385227352
2015-02-10,-24.02262578576749
2015-02-11,-18.532708819754586
2015-02-12,-11.601625401845151
2015-02-13,181.09849929633964
2015-02-14,16.348574316167742
2015-02-15,13.713165435077656
2015-02-16,-50.21661326486586
2015-02-17,-2.808156654365146
2015-02-18,-7.90224791781633
2015-02-19,-27.500317450239677
2015-02-20,30.68443666018992
2015-02-21,-48.55151675063974
2015-02-22,58.96029045440485
2015-02-23,-16.013724586470012
2015-02-24,-13.41219512195122
2015-02-25,-19.04312554575928
2015-02-26,18.468711400288782
2015-02-27,223.1706242565752
2015-02-28,-68.30705754318522
2015-03-01,80.75243919049701
2015-03-02,60.49092358519377
2015-03-03,24.7014137899505
2015-03-04,-17.99061855322792
2015-03-05,-0.1947659667013046
2015-03-06,-29.98251917564112
2015-03-07,-38.3589970572878
2015-03-08,23.796834942415245
2015-03-09,168.16416605114216
2015-03-10,14.51987387247331
2015-03-11,-49.88416840291099
2015-03-12,-4.059310032122343
2015-03-13,-3.5712532069773983
2015-03-14,-28.03558073293764
2015-03-15,-47.06376618035317
2015-03-16,79.74870719542861
2015-03-17,-0.0878411979866267
2015-03-18,165.1880244869099
2015-03-19,-7.500701655907937
2015-03-20,-64.99905180914814
2015-03-21,-7.187633759014345
2015-03-22,7.6356822201855135
2015-03-23,23.721533129769345
2015-03-24,75.6701546122857
2015-03-25,-10.497658065015214
2015-03-26,-28.262548477844472
2015-03-27,-32.86086280606296
2015-03-28,-7.1433119728623655
2015-03-29,35.27545212550418
2015-03-30,6.037954966496772
2015-03-31,-1.4672136847229011
2015-04-01,0.905081157374732
2015-04-02,14.841851275505746
2015-04-03,-11.898327535150688
2015-04-04,-46.0244701165614
2015-04-05,57.275383199263615
2015-04-06,1.959367302485604
2015-04-07,-7.820626728294611
2015-04-08,62.91627408297866
2015-04-09,-28.062180918953416
2015-04-10,33.44422112874534
2015-04-11,-43.33771899452946
2015-04-12,-24.303399897343148
2015-04-13,151.71175098281387
2015-04-14,1.7227998383672505
2015-04-15,-28.86913206595416
2015-04-16,9.943267440829718
2015-04-17,-17.63970748304805
2015-04-18,-36.66604665733389
2015-04-19,16.094752299250324
2015-04-20,22.25609959058683
2015-04-21,36.010934020158246
2015-04-22,-4.524381455681004
2015-04-23,-28.56394064047568
2015-04-24,25.90220709086639
2015-04-25,-34.92752474508944
2015-04-26,107.37468833290347
2015-04-27,33.2725256273386
2015-04-28,-44.3428215896718
2015-04-29,-11.796899744750622
2015-04-30,78.5894964750614
2015-05-01,-44.36404818650092
2015-05-02,-33.376029082714595
2015-05-03,47.53380399664952
2015-05-04,14.757679476157271
2015-05-05,12.748664210258486
2015-05-06,23.645268731377268
2015-05-07,-1.7669803158122388
2015-05-08,-5.570044453007805
2015-05-09,-27.89163979523055
2015-05-10,-24.109547510169016
2015-05-11,39.10487312821673
2015-05-12,-7.704752468612841
2015-05-13,40.95661373466233
2015-05-14,-10.17803466506746
2015-05-15,-33.11378447347187
2015-05-16,-32.08752311781205
2015-05-17,0.4021749912080485
2015-05-18,50.7081720449422
2015-05-19,-15.127262325464985
2015-05-20,8.829580322850173
2015-05-21,-2.519452365898034
2015-05-22,78.72247483271448
2015-05-23,-45.91341702773766
2015-05-24,-21.2050667579596
2015-05-25,25.3380257212374
2015-05-26,13.873501618840956
2015-05-27,14.684931506849308
2015-05-28,-26.58278919148485
2015-05-29,7.052987794296284
2015-05-30,-4.771361026680177
2015-05-31,4.484133176343752
2015-06-01,77.1152958427241
2015-06-02,-21.584484774151512
2015-06-03,-13.229385600469234
2015-06-04,-17.036006399134763
2015-06-05,22.598977464846115
2015-06-06,-38.35184005759699
2015-06-07,19.646049499169017
2015-06-08,75.53459875060067
2015-06-09,21.27904390377442
2015-06-10,-43.9045465927888
2015-06-11,-9.360696142045166
2015-06-12,-2.762902330743622
2015-06-13,-5.0821461438039
2015-06-14,-8.563504768776353
2015-06-15,63.67140943127922
2015-06-16,108.97846033316428
2015-06-17,5.398442756897048
2015-06-18,-29.36313226200682
2015-06-19,-22.64317209056107
2015-06-20,-14.00858741597226
2015-06-21,-48.55954697424799
2015-06-22,66.89620692582704
2015-06-23,-14.603928218171546
2015-06-24,14.800743942231964
2015-06-25,-6.9864917064958565
2015-06-26,-13.32415964693704
2015-06-27,46.51982693889227
2015-06-28,-26.1169626035942
2015-06-29,129.5139255892612
2015-06-30,28.18100964513612
2015-07-01,-39.3049773430518
2015-07-02,-20.2661506929389
2015-07-03,-11.683888659468543
2015-07-04,-17.933360653153862
2015-07-05,182.68226165783207
2015-07-06,11.320519701694677
2015-07-07,-41.29240684531318
2015-07-08,28.14717786648924
2015-07-09,8.980481446828303
2015-07-10,149.09928240350166
2015-07-11,-59.04980575754557
2015-07-12,37.20539334807431
2015-07-13,10.014892296782207
2015-07-14,-53.70605231903232
2015-07-15,-4.318555236848698
2015-07-16,80.02444827661479
2015-07-17,-44.240197564396375
2015-07-18,-8.71394709945853
2015-07-19,-39.12558412838318
2015-07-20,48.12587640632644
2015-07-21,0.9655943711087912
2015-07-22,-15.441744037469418
2015-07-23,-4.427585637809573
2015-07-24,100.73821048712178
2015-07-25,-44.45555573476992
2015-07-26,-22.407584865116004
2015-07-27,90.81479263736333
2015-07-28,-16.796548117154806
2015-07-29,-3.0683282521922206
2015-07-30,-12.308390684402935
2015-07-31,9.21297109420498
2015-08-01,-19.61183455992822
2015-08-02,-6.700710713345615
2015-08-03,21.170622157519947
2015-08-04,2.023833362050098
2015-08-05,-8.12782136776714
2015-08-06,-6.63702305246423
2015-08-07,126.07797957652416
2015-08-08,37.77398034120439
2015-08-09,-59.35694394615003
2015-08-10,-11.812724888186432
