date,tesla_stockprice_sma_5,tesla_stockprice_sma_10,tesla_stockprice_sma_20,tesla_stockprice_sma_50,tesla_stockprice_sma_100,tesla_stockprice_ema_12,tesla_stockprice_ema_26,tesla_stockprice_macd_line,tesla_stockprice_macd_signal,tesla_stockprice_macd_hist,tesla_stockprice_rsi_14,tesla_stockprice_bb_mean_20,tesla_stockprice_bb_upper_20,tesla_stockprice_bb_lower_20,tesla_atr_14,tesla_pdi_14,tesla_mdi_14,tesla_dx_14,tesla_adx_14,tesla_stoch_k_14,tesla_stoch_d_3,tesla_obv,tesla_stockprice_momentum_7,tesla_stockprice_roc_7,tesla_stockprice_momentum_21,tesla_stockprice_roc_21,tesla_mfi_14,tesla_volatility_std_10,tesla_avg_volume_20,tesla_volume_spike_20
2014-09-17,17.42533302307129,17.42533302307129,17.42533302307129,17.42533302307129,17.42533302307129,17.42533302307129,17.42533302307129,0.0,0.0,0.0,,17.42533302307129,,,0.3466682434082031,,,,,36.1538122957404,36.1538122957404,0.0,,,,,,,77665500.0,1.0
2014-09-18,17.50666618347168,17.50666618347168,17.50666618347168,17.50666618347168,17.50666618347168,17.450358610886795,17.43738238016764,0.0129762307191541,0.0025952461438308,0.0103809845753232,,17.50666618347168,17.736711100489476,17.276621266453883,0.3420015062604631,17.543626225051806,-0.0,100.0,100.0,70.81951681667456,53.48666455620748,55389000.0,,,,,100.0,0.0,66527250.0,0.8325761248210319
2014-09-19,17.43377749125163,17.43377749125163,17.43377749125163,17.43377749125163,17.43377749125163,17.4253803794906,17.426317026585707,-0.0009366470951057,0.0018888674960435,-0.0028255145911492,,17.43377749125163,17.734133062808837,17.13342191969442,0.3582870911578742,15.550041064441162,9.370004276742446,24.79946044674888,94.6285328890535,39.20622611200354,48.7265184081395,-46774500.0,,,,,35.61442913259309,0.0,78406000.0,1.3030061474887127
2014-09-20,17.3973331451416,17.3973331451416,17.3973331451416,17.3973331451416,17.3973331451416,17.40424495292459,17.416071328824657,-0.0118263759000676,-0.0008541811831787,-0.0109721947168889,,17.3973331451416,17.68262835842865,17.11203793185455,0.3582870911578742,15.550041064441162,9.370004276742446,24.79946044674888,89.64074200031746,39.20622611200354,49.74398968022721,-46774500.0,,,,,35.61442913259309,0.0,84345375.0,1.211251950684907
2014-09-21,17.375466537475585,17.375466537475585,17.375466537475585,17.375466537475585,17.375466537475585,17.386361130445657,17.4065845716385,-0.0202234411928436,-0.0047280331851117,-0.0154954080077319,,17.375466537475585,17.641188176902574,17.109744898048596,0.3582870911578742,15.550041064441162,9.370004276742446,24.79946044674888,85.00922188934828,39.20622611200354,39.20622611200354,-46774500.0,,,,,35.61442913259309,0.0,87909000.0,1.1621506330409856
2014-09-22,17.22413330078125,17.25766658782959,17.25766658782959,17.25766658782959,17.25766658782959,17.275946624161648,17.35192399889488,-0.075977374733231,-0.0189779014947355,-0.0569994732384954,,17.25766658782959,17.881790186971774,16.633542988687406,0.4087174766853037,13.631369584555006,8.21386842490165,24.79946044674888,80.70852464344833,25.46678189271104,34.626411372239374,-169986000.0,,,,,35.61442913259309,0.0,93792750.0,1.3136569724205762
2014-09-23,17.045333480834962,17.17714282444545,17.17714282444545,17.17714282444545,17.17714282444545,17.186416411850722,17.30318890595012,-0.116772494099397,-0.0385368200156678,-0.0782356740837291,,17.17714282444545,17.888593945033325,16.465691703857576,0.4214282293882369,12.06142939691423,7.267867947381202,24.79946044674888,76.71502005796981,27.2858377421904,30.65294858230166,-85105500.0,,,,,23.485339579310207,0.0,92519571.42857143,0.917432913808198
2014-09-24,16.949600219726562,17.131166696548462,17.131166696548462,17.131166696548462,17.131166696548462,17.128403702530537,17.26660704634415,-0.1382033438136112,-0.0584701247752565,-0.0797332190383546,,17.131166696548462,17.839330151577247,16.423003241519677,0.4189453024024281,11.26627619938799,6.788731665321869,24.799460446748885,73.00676580002546,35.56732163816374,29.43998042435506,-28863000.0,-0.6159992218017578,-3.5350786179303983,,,37.6158808706829,0.0,87984937.5,0.639228731622387
2014-09-25,16.78466682434082,17.056962966918945,17.056962966918945,17.056962966918945,17.056962966918945,17.026085152892424,17.20710527475442,-0.1810201218619944,-0.0829801241926041,-0.0980399976693903,,17.056962966918945,17.855105504209128,16.258820429628763,0.4312110534637363,12.505089261113907,6.1245107287209,34.24968080836171,70.2384025863352,10.722869950243714,24.525343110199284,-101376000.0,-1.1246662139892578,-6.394509074058552,,,30.413047779674443,0.0,86265833.33333333,0.8405761261217748
2014-09-26,16.615066909790038,16.995266723632813,16.995266723632813,16.995266723632813,16.995266723632813,16.9359182884563,17.15028270136947,-0.2143644129131701,-0.1092569819367173,-0.1051074309764527,,16.995266723632813,17.84291481593684,16.147618631328786,0.4178387983021245,11.983487679614614,5.90325373848307,33.99296606915558,67.64944283510809,9.04748143897425,18.44589100912724,-158307000.0,-0.8479995727539062,-4.905134009224077,,,26.464326703090265,0.0,83332350.0,0.683180061524726
