date,nasdaq_stockprice,nasdaq_volume,nasdaq_volatility
2014-12-23,4765.419921875,1590820000.0,0.0088757051913244
2014-12-24,4773.47021484375,729750000.0,0.0088748012099141
2014-12-25,4773.47021484375,729750000.0,0.0088748012099141
2014-12-26,4806.85986328125,930220000.0,0.0089371360283295
2014-12-27,4806.85986328125,930220000.0,0.0089371360283295
2014-12-28,4806.85986328125,930220000.0,0.0089371360283295
2014-12-29,4806.91015625,1227740000.0,0.008938642180003
2014-12-30,4777.43994140625,1269200000.0,0.0090281793965935
2014-12-31,4736.0498046875,1515600000.0,0.0091553342588822
2015-01-01,4736.0498046875,1515600000.0,0.0091553342588822
2015-01-02,4726.81005859375,1435150000.0,0.009087849689907
2015-01-03,4726.81005859375,1435150000.0,0.009087849689907
2015-01-04,4726.81005859375,1435150000.0,0.009087849689907
2015-01-05,4652.56982421875,1794470000.0,0.0094927771229807
2015-01-06,4592.740234375,2167320000.0,0.0097061994011064
2015-01-07,4650.47021484375,1957950000.0,0.009991406211924
2015-01-08,4736.18994140625,2105450000.0,0.0104314234321195
2015-01-09,4704.06982421875,1715830000.0,0.0105005380834327
2015-01-10,4704.06982421875,1715830000.0,0.0105005380834327
2015-01-11,4704.06982421875,1715830000.0,0.0105005380834327
2015-01-12,4664.7099609375,1861960000.0,0.0105258529807765
2015-01-13,4661.5,2162180000.0,0.0105206637407419
2015-01-14,4639.31982421875,2073810000.0,0.010278333241815
2015-01-15,4570.81982421875,1976260000.0,0.0105180192421732
2015-01-16,4634.3798828125,1970520000.0,0.010838175285612
2015-01-17,4634.3798828125,1970520000.0,0.010838175285612
2015-01-18,4634.3798828125,1970520000.0,0.010838175285612
2015-01-19,4634.3798828125,1970520000.0,0.010838175285612
2015-01-20,4654.85009765625,1835040000.0,0.0108828830947228
2015-01-21,4667.419921875,1847420000.0,0.0108863328472692
2015-01-22,4750.39990234375,1996550000.0,0.0112887029295319
2015-01-23,4757.8798828125,1653830000.0,0.0112475336973084
2015-01-24,4757.8798828125,1653830000.0,0.0112475336973084
2015-01-25,4757.8798828125,1653830000.0,0.0112475336973084
2015-01-26,4771.759765625,1717510000.0,0.0107660678943674
2015-01-27,4681.5,1954160000.0,0.0113106587736764
2015-01-28,4637.990234375,2118680000.0,0.0112372860955914
2015-01-29,4683.41015625,2110710000.0,0.011201013334103
2015-01-30,4635.240234375,2264230000.0,0.0111196512157648
2015-01-31,4635.240234375,2264230000.0,0.0111196512157648
2015-02-01,4635.240234375,2264230000.0,0.0111196512157648
2015-02-02,4676.68994140625,2006450000.0,0.0105614630085567
2015-02-03,4727.740234375,2153520000.0,0.0099348800270237
2015-02-04,4716.7001953125,2212960000.0,0.0099172383480924
2015-02-05,4765.10009765625,2036590000.0,0.010082856042545
2015-02-06,4744.39990234375,2034060000.0,0.0100955988156801
2015-02-07,4744.39990234375,2034060000.0,0.0100955988156801
2015-02-08,4744.39990234375,2034060000.0,0.0100955988156801
2015-02-09,4726.009765625,1654680000.0,0.0101119079578096
2015-02-10,4787.64013671875,1773730000.0,0.0103179506367705
2015-02-11,4801.18017578125,1793630000.0,0.0103320830947424
2015-02-12,4857.60986328125,2075470000.0,0.0104804207616714
2015-02-13,4893.83984375,1942240000.0,0.0104026949417416
2015-02-14,4893.83984375,1942240000.0,0.0104026949417416
2015-02-15,4893.83984375,1942240000.0,0.0104026949417416
2015-02-16,4893.83984375,1942240000.0,0.0104026949417416
2015-02-17,4899.27001953125,1751490000.0,0.0103867948205752
2015-02-18,4906.35986328125,1684800000.0,0.0098767052680849
2015-02-19,4924.7001953125,1592890000.0,0.0094814263300364
2015-02-20,4955.97021484375,1761140000.0,0.0093189725673526
2015-02-21,4955.97021484375,1761140000.0,0.0093189725673526
2015-02-22,4955.97021484375,1761140000.0,0.0093189725673526
2015-02-23,4960.97021484375,1754850000.0,0.0088066237271704
2015-02-24,4968.1201171875,1834890000.0,0.0086645437100847
2015-02-25,4967.14013671875,1848560000.0,0.0084577565723507
2015-02-26,4987.89013671875,1905550000.0,0.0084491436026721
2015-02-27,4963.52978515625,1955590000.0,0.0084527968821055
2015-02-28,4963.52978515625,1955590000.0,0.0084527968821055
2015-03-01,4963.52978515625,1955590000.0,0.0084527968821055
2015-03-02,5008.10009765625,1931110000.0,0.007888310260263
2015-03-03,4979.89990234375,2018900000.0,0.0077717521750547
2015-03-04,4967.14013671875,1824830000.0,0.007813709008431
2015-03-05,4982.81005859375,1724200000.0,0.0078152106949945
2015-03-06,4927.3701171875,1918220000.0,0.0076198649447836
2015-03-07,4927.3701171875,1918220000.0,0.0076198649447836
2015-03-08,4927.3701171875,1918220000.0,0.0076198649447836
2015-03-09,4942.43994140625,1696510000.0,0.0076270273729369
2015-03-10,4859.7900390625,1876010000.0,0.0083045876628991
2015-03-11,4849.93994140625,1846020000.0,0.0074485495219555
2015-03-12,4893.2900390625,1855110000.0,0.007303480546587
2015-03-13,4871.759765625,1851410000.0,0.0072284002078066
2015-03-14,4871.759765625,1851410000.0,0.0072284002078066
2015-03-15,4871.759765625,1851410000.0,0.0072284002078066
2015-03-16,4929.509765625,1713480000.0,0.0071263567696264
2015-03-17,4937.43017578125,1724370000.0,0.0070080105161811
2015-03-18,4982.830078125,1983570000.0,0.0069387182520864
2015-03-19,4992.3798828125,1674970000.0,0.006895594774593
2015-03-20,5026.419921875,2825670000.0,0.0067808471793047
2015-03-21,5026.419921875,2825670000.0,0.0067808471793047
2015-03-22,5026.419921875,2825670000.0,0.0067808471793047
2015-03-23,5010.97021484375,1608880000.0,0.0067449775006766
2015-03-24,4994.72998046875,1611670000.0,0.0067273623060372
2015-03-25,4876.52001953125,2219520000.0,0.0078979198800411
2015-03-26,4863.35986328125,2004960000.0,0.0079090144864375
2015-03-27,4891.22021484375,1678650000.0,0.0076879971927692
2015-03-28,4891.22021484375,1678650000.0,0.0076879971927692
2015-03-29,4891.22021484375,1678650000.0,0.0076879971927692
2015-03-30,4947.43994140625,1778520000.0,0.0078500543734508
2015-03-31,4900.8798828125,1837660000.0,0.0080498567366694
2015-04-01,4880.22998046875,1874960000.0,0.0080814737579062
2015-04-02,4886.93994140625,1563670000.0,0.008053567831466
2015-04-03,4886.93994140625,1563670000.0,0.008053567831466
2015-04-04,4886.93994140625,1563670000.0,0.008053567831466
2015-04-05,4886.93994140625,1563670000.0,0.008053567831466
2015-04-06,4917.31982421875,1737560000.0,0.0080498736949896
2015-04-07,4910.22998046875,1572940000.0,0.0080489853995279
2015-04-08,4950.81982421875,1714210000.0,0.0081950668628258
2015-04-09,4974.56005859375,1729750000.0,0.0082436835210573
2015-04-10,4995.97998046875,1494240000.0,0.0082459198713371
2015-04-11,4995.97998046875,1494240000.0,0.0082459198713371
2015-04-12,4995.97998046875,1494240000.0,0.0082459198713371
2015-04-13,4988.25,1544190000.0,0.0081991455723747
2015-04-14,4977.2900390625,1571360000.0,0.0080387653971524
2015-04-15,5011.02001953125,1795530000.0,0.0080681048982859
2015-04-16,5007.7900390625,1662850000.0,0.0080529459823203
2015-04-17,4931.81005859375,1985190000.0,0.0085160213101795
2015-04-18,4931.81005859375,1985190000.0,0.0085160213101795
2015-04-19,4931.81005859375,1985190000.0,0.0085160213101795
2015-04-20,4994.60009765625,1646340000.0,0.008581118350165
2015-04-21,5014.10009765625,1721260000.0,0.0085913054442077
2015-04-22,5035.169921875,1696380000.0,0.0079626511368633
2015-04-23,5056.06005859375,1858620000.0,0.0079565340269235
2015-04-24,5092.080078125,1895150000.0,0.0079045639866176
2015-04-25,5092.080078125,1895150000.0,0.0079045639866176
2015-04-26,5092.080078125,1895150000.0,0.0079045639866176
2015-04-27,5060.25,2172470000.0,0.0079582547770662
2015-04-28,5055.419921875,2032500000.0,0.007713741091603
2015-04-29,5023.64013671875,1871300000.0,0.0078211875025654
2015-04-30,4941.419921875,2269290000.0,0.0082423735473354
2015-05-01,5005.39013671875,1854400000.0,0.008578324514617
2015-05-02,5005.39013671875,1854400000.0,0.008578324514617
2015-05-03,5005.39013671875,1854400000.0,0.008578324514617
2015-05-04,5016.93017578125,1668200000.0,0.0084959956128865
2015-05-05,4939.330078125,2069490000.0,0.0089442885287245
