date,nasdaq_stockprice_sma_5,nasdaq_stockprice_sma_10,nasdaq_stockprice_sma_20,nasdaq_stockprice_sma_50,nasdaq_stockprice_sma_100,nasdaq_stockprice_ema_12,nasdaq_stockprice_ema_26,nasdaq_stockprice_macd_line,nasdaq_stockprice_macd_signal,nasdaq_stockprice_macd_hist,nasdaq_stockprice_rsi_14,nasdaq_stockprice_bb_mean_20,nasdaq_stockprice_bb_upper_20,nasdaq_stockprice_bb_lower_20,nasdaq_atr_14,nasdaq_pdi_14,nasdaq_mdi_14,nasdaq_dx_14,nasdaq_adx_14,nasdaq_stoch_k_14,nasdaq_stoch_d_3,nasdaq_obv,nasdaq_stockprice_momentum_7,nasdaq_stockprice_roc_7,nasdaq_stockprice_momentum_21,nasdaq_stockprice_roc_21,nasdaq_mfi_14,nasdaq_volatility_std_10,nasdaq_avg_volume_20,nasdaq_volume_spike_20
2014-09-17,4562.18994140625,4562.18994140625,4562.18994140625,4562.18994140625,4562.18994140625,4562.18994140625,4562.18994140625,0.0,0.0,0.0,,4562.18994140625,,,43.0400390625,,,,,53.04381367277018,53.04381367277018,0.0,,,,,,,1796710000.0,1.0
2014-09-18,4577.81005859375,4577.81005859375,4577.81005859375,4577.81005859375,4577.81005859375,4566.996131310097,4564.504032841434,2.492098468662334,0.4984196937324668,1.993678774929868,,4577.81005859375,4621.990421738589,4533.629695448911,42.23646763392857,27.4172504797672,-0.0,100.0,100.0,98.99340258532835,76.01860812904927,1774840000.0,,,,,100.0,0.0,1785775000.0,0.9938766081953213
2014-09-19,4578.470052083333,4578.470052083333,4578.470052083333,4578.470052083333,4578.470052083333,4568.964424810467,4565.636329598551,3.328095211915752,1.064354797369124,2.263740414546628,,4578.470052083333,4609.793834432859,4547.146269733808,42.58599728954081,28.0324972681048,-0.0,100.0,100.0,56.77601173905292,69.60440933238381,-1403650000.0,,,,,35.84166276900697,0.0,2250013333.3333335,1.4126538509401425
2014-09-20,4578.800048828125,4578.800048828125,4578.800048828125,4578.800048828125,4578.800048828125,4570.629903926165,4566.684752521807,3.9451514043576026,1.6405141187668195,2.304637285590782,,4578.800048828125,4604.409850195547,4553.190247460703,42.58599728954081,28.0324972681048,-0.0,100.0,100.0,56.77601173905292,70.84847535447807,-1403650000.0,,,,,35.84166276900697,0.0,2482132500.0,1.2805480771070843
2014-09-21,4578.998046875,4578.998046875,4578.998046875,4578.998046875,4578.998046875,4572.039155485601,4567.655514487785,4.383640997816656,2.189139494576787,2.1945015032398687,,4578.998046875,4601.194454446732,4556.8016393032685,42.58599728954081,28.0324972681048,-0.0,100.0,100.0,56.77601173905292,56.77601173905292,-1403650000.0,,,,,35.84166276900697,0.0,2621404000.0,1.2125143625324444
2014-09-22,4572.098046875,4570.446695963542,4570.446695963542,4570.446695963542,4570.446695963542,4565.216199473393,4564.695101666931,0.5210978064624214,1.855531156953914,-1.3344333504914927,,4570.446695963542,4616.8057173632,4524.087674563884,44.55860456858386,26.79149996362895,-0.0,100.0,100.0,14.95112162223102,42.83438170011228,-3285170000.0,,,,,35.84166276900697,0.0,2498090000.0,0.7531834321421567
2014-09-23,4555.15,4561.624302455357,4561.624302455357,4561.624302455357,4561.624302455357,4556.519852078449,4560.546571277251,-4.026719198802311,0.6790810858026691,-4.7058002846049805,,4561.624302455357,4624.634899047645,4498.613705863068,43.34798019091716,25.125773792084704,0.9504240945128508,92.71040894346532,99.47931492453324,0.2643365534911067,23.997156638258343,-5132900000.0,,,,,26.20912861900005,0.0,2405181428.571429,0.768228948573526
2014-09-24,4550.23603515625,4560.823791503906,4560.823791503906,4560.823791503906,4560.823791503906,4556.319907888495,4560.152026356252,-3.8321184677561178,-0.2231588249090883,-3.608959642847029,,4560.823791503906,4619.335762050816,4502.311820956997,44.3331342286195,26.234801255939,0.8629252654023206,93.63101354851516,99.06157911196053,49.88261613486544,21.699358103529185,-3367640000.0,-6.9697265625,-0.1527715121907413,,,41.33730006064241,0.0,2325191250.0,0.759189163472037
2014-09-25,4527.62802734375,4550.371148003473,4550.371148003473,4550.371148003473,4550.371148003473,4542.539922059496,4553.23335773727,-10.693435677773778,-2.317214195482026,-8.37622148229175,,4550.371148003473,4633.61160440191,4467.130691605035,47.493630221218105,22.73977505976334,5.784692979614955,59.440484768170734,96.23150094454697,0.0763312164142647,16.7410946349236,-5307250000.0,-126.68017578125,-2.7578556967986168,,,33.79788655070689,0.0,2282348888.888889,0.8498306325744336
2014-09-26,4514.1080078125,4546.55302734375,4546.55302734375,4546.55302734375,4546.55302734375,4537.8706942666895,4550.193104675713,-12.322410409023178,-4.318253438190257,-8.00415697083292,,4546.55302734375,4628.663985460295,4464.442069227205,47.60122806255967,21.06777591292259,5.359358881048347,59.440484768170734,93.60357121766292,31.647261575204908,27.202069642161533,-3669770000.0,-67.60009765625,-1.4760523316498575,,,42.6444757550582,0.0,2217862000.0,0.7383146471692107
