counts__tweet_count,counts__nlp_tweet_count,counts__tesla,counts__stock,counts__market,counts__price,counts__profit,counts__loss,counts__revenue,counts__inflation,counts__interest,counts__bitcoin,counts__dogecoin,counts__crypto,counts__ethereum,counts__spacex,counts__model,counts__cybertruck,counts__starship,counts__buy,counts__sell,counts__likeCount,counts__quoteCount,counts__retweetCount,counts__replyCount,counts__sp500_stockprice,counts__sp500_volume,counts__sp500_volatility,counts__sp500_volatility_std_10,counts__sp500_avg_volume_20,counts__sp500_volume_spike_20,counts__sp500_stockprice_sma_5,counts__sp500_stockprice_sma_10,counts__sp500_stockprice_sma_20,counts__sp500_stockprice_sma_50,counts__sp500_stockprice_sma_100,counts__sp500_stockprice_ema_12,counts__sp500_stockprice_ema_26,counts__sp500_stockprice_macd_line,counts__sp500_stockprice_macd_signal,counts__sp500_stockprice_macd_hist,counts__sp500_stockprice_rsi_14,counts__sp500_stockprice_bb_mean_20,counts__sp500_stockprice_bb_upper_20,counts__sp500_stockprice_bb_lower_20,counts__sp500_atr_14,counts__sp500_pdi_14,counts__sp500_mdi_14,counts__sp500_dx_14,counts__sp500_adx_14,counts__sp500_stoch_d_3,counts__sp500_obv,counts__sp500_stockprice_momentum_7,counts__sp500_stockprice_roc_7,counts__sp500_stockprice_momentum_21,counts__sp500_stockprice_roc_21,scores__neg,scores__neu,scores__pos,scores__polarized,scores__anger,scores__disgust,scores__fear,scores__joy,scores__neutral,scores__sadness,scores__surprise,scores__Extroversion,scores__Neuroticism,scores__Agreeableness,scores__Conscientiousness,scores__Openness,scores__arts_culture,scores__business_entrepreneurs,scores__celebrity_pop_culture,scores__diaries_daily_life,scores__family,scores__fashion_style,scores__film_tv_video,scores__fitness_&_health,scores__food_&_dining,scores__gaming,scores__learning_educational,scores__music,scores__news_social_concern,scores__other_hobbies,scores__relationships,scores__science_technology,scores__sports,scores__travel_adventure,scores__youth_student_life,binary__no_tweets,binary__is_trading_day,date,sp500_change_volatility
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32412677562306547,0.3074872405057561,0.0,0.0,0.46652368988287174,0.3273328469409894,0.29971439967932634,0.3008607701858672,0.27499240388464674,0.2638265553209731,0.17851746832686288,0.2846090206589471,0.2681366935943368,0.6060806218792684,0.5994793324076286,0.6097688245176588,0.0,0.27499240388464674,0.1976592813155058,0.36900217035787763,0.15914153836848455,0.17586497024738518,0.0,0.728245951353433,1.0000000000000002,0.20007776197660485,0.6041806193791132,0.667296826581457,0.6516637449999103,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-09-24,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26223959106628936,0.3008912650207984,0.0,0.0,0.4382035313350259,0.3300217203170561,0.2818431585607386,0.29227200462317526,0.2654674291326531,0.2533740146576715,0.16538520972571735,0.27308866258865905,0.26193193969753104,0.5694242994109243,0.5875133338266592,0.5555693509355815,0.0,0.2654674291326531,0.21274963275262504,0.3375024910138893,0.19995704739336662,0.13483275302044007,0.10002173952149816,0.14018242769413583,0.9299470561512134,0.16137535139400896,0.5656287301298258,0.5430123782098245,0.5250888143811816,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-09-25,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294533467044543,0.24534118814858408,0.0,0.0,0.40108302861577294,0.28581913541642834,0.27075661979690535,0.28897682590898466,0.2618130629927391,0.24936377718506808,0.16034686763850292,0.26897238853971484,0.25913460126414734,0.559693301627557,0.5757752171651349,0.5572837443154497,0.0,0.2618130629927391,0.20867923085231332,0.33447963687183924,0.20623440517553537,0.11247730620307395,0.08496252951503012,0.14018242769413577,0.8648978940059115,0.2668755026355632,0.6001333806675299,0.5956189591406275,0.5786456956692395,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-09-26,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294533467044543,0.24534118814858408,0.0,0.0,0.37071170820911137,0.2953716396387378,0.2661529725226357,0.2850065079412838,0.25882312706008204,0.24608267379839255,0.15622458774896408,0.2654893874213773,0.25654447308508566,0.5527538086587025,0.5648405648544431,0.5633283395487246,0.0,0.25882312706008204,0.20474245516277279,0.33256378062046066,0.20623440517553537,0.11247730620307395,0.08496252951503012,0.14018242769413577,0.8044951005852741,0.21100030248310853,0.6001333806675299,0.5956189591406275,0.5786456956692395,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,0.0,2014-09-27,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294533467044543,0.24534118814858408,0.0,0.0,0.3454022745368934,0.3036252945329716,0.26618514799735893,0.2789598209123918,0.2563315137828681,0.24334842097616338,0.15278935450768216,0.26254223262893817,0.25414620625262163,0.5480804746524297,0.555052944167229,0.5719576482125179,0.0,0.2563315137828681,0.20104205676441644,0.331353029692266,0.20623440517553537,0.11247730620307395,0.08496252951503012,0.14018242769413577,0.7484067924089678,0.3165004537246628,0.6001333806675299,0.5956189591406275,0.5786456956692395,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,0.0,2014-09-28,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28486075944631617,0.2720160890068692,0.0,0.0,0.32932946852882794,0.3375445561327156,0.25793565101546756,0.27204569316785143,0.25330954390515625,0.24003216409858563,0.1486229088264821,0.25836166512148573,0.25104265835540485,0.5397202727192063,0.545362555956374,0.5726891442179236,0.0,0.25330954390515625,0.19843878105177115,0.32815225498050404,0.2081461761125506,0.11175156062364211,0.08447364843020029,0.1401824276941358,0.6963247919595407,0.2940620981246522,0.5636852640275261,0.6282695551678819,0.6115257086504402,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-09-29,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27430680175894606,0.41050894094176954,0.0,0.0,0.3413109092720281,0.48025251726868945,0.26047088193221946,0.2639629476342309,0.24979356849620693,0.23617379419314055,0.14377536859589668,0.2529837597108786,0.24720563140689222,0.5280642624233934,0.5350165785207884,0.5677570380221907,0.0,0.24979356849620693,0.19704144709772997,0.3229287236985665,0.20278546657518215,0.1424639952116204,0.07060769681499028,0.2817844317454913,0.656093776979159,0.23836277011758722,0.5171469069560303,0.6460118120749259,0.6295718293635912,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-09-30,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22425698739665068,0.4489030149104613,0.0,0.0,0.3583596376518299,0.5129585577914372,0.2457063179860408,0.25033829022865195,0.24264905511598833,0.2283335301955267,0.13392509605121194,0.23970504931077574,0.23908425207539885,0.4914374292925453,0.5185896833586132,0.5220092879620986,0.3121801453311247,0.24264905511598833,0.20647054138031606,0.301038400646751,0.23587139440904048,0.10946382744067323,0.27999050071187687,0.4107418237125771,0.6261411899232543,0.15194980501558614,0.46781125434129095,0.5230264829328887,0.5037019573749631,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-10-01,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22427616025611208,0.42043685404302583,0.0,0.0,0.36864468406508677,0.47852843013618795,0.23094578211456218,0.24013252205469016,0.23639907739768695,0.22147491398432884,0.125308136344211,0.22847256098410273,0.2315662065080204,0.46421447816813266,0.49939058281029813,0.5011535282194828,0.3167260381183167,0.23639907739768695,0.21063183515054806,0.2856454604298997,0.2552487289916592,0.08502156184530799,0.3721564130472953,0.6192766967543569,0.6103022275258739,0.1408963717312146,0.5150729341603154,0.6184391325703426,0.6005591420523259,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-10-02,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26589809999300895,0.3474381586881769,0.0,0.0,0.366538710486616,0.4032701943422604,0.22492970518422872,0.23697874528176222,0.2338909078975968,0.21872249265274935,0.12185007673268444,0.22622658781448468,0.22840432843516467,0.4683923526300297,0.48496095276581125,0.5370350438621025,0.38173155898067124,0.2338909078975968,0.20711527138239028,0.2842351018407103,0.2698755525596358,0.2487637258413523,0.33081796707283206,0.1945464562393262,0.5712064426832623,0.2591470517781488,0.5570161128652037,0.6328159319225494,0.6159356351771706,0.5726356389164434,0.5438670715131223,-0.4085690551716918,-0.6691947035349466,-0.5776775729021574,-0.4574453595102457,-0.311010227219765,-0.29542415995500776,-0.25606730695282853,-0.32257732656229005,-0.7077556973551882,-0.3037118809451021,-0.43934919498121816,-0.7995314303523807,-0.8108153763949381,-0.8090439368472614,-0.8030532657648491,-0.8074837622643972,-0.2682543060352206,-0.31849955423104004,-0.16817560782192073,-0.39133021915897426,-0.17928363900684316,-0.1386612886516733,-0.24103040706344173,-0.15128345167310392,-0.09504237477738352,-0.1296744974320168,-0.21007038010058232,-0.14044957975534897,-0.439652443824715,-0.39412605440671955,-0.17716603756845933,-0.39598353509687445,-0.1882297901399625,-0.24976126038402915,-0.39360502529822194,0.0,1.0,2014-10-03,
