counts__tweet_count,counts__nlp_tweet_count,counts__tesla,counts__stock,counts__market,counts__price,counts__profit,counts__loss,counts__revenue,counts__inflation,counts__interest,counts__bitcoin,counts__dogecoin,counts__crypto,counts__ethereum,counts__spacex,counts__model,counts__cybertruck,counts__starship,counts__buy,counts__sell,counts__likeCount,counts__quoteCount,counts__retweetCount,counts__replyCount,counts__sp500_stockprice,counts__sp500_volume,counts__sp500_volatility,counts__sp500_volatility_std_10,counts__sp500_avg_volume_20,counts__sp500_volume_spike_20,counts__sp500_stockprice_sma_5,counts__sp500_stockprice_sma_10,counts__sp500_stockprice_sma_20,counts__sp500_stockprice_sma_50,counts__sp500_stockprice_sma_100,counts__sp500_stockprice_ema_12,counts__sp500_stockprice_ema_26,counts__sp500_stockprice_macd_line,counts__sp500_stockprice_macd_signal,counts__sp500_stockprice_macd_hist,counts__sp500_stockprice_rsi_14,counts__sp500_stockprice_bb_mean_20,counts__sp500_stockprice_bb_upper_20,counts__sp500_stockprice_bb_lower_20,counts__sp500_atr_14,counts__sp500_pdi_14,counts__sp500_mdi_14,counts__sp500_dx_14,counts__sp500_adx_14,counts__sp500_stoch_d_3,counts__sp500_obv,counts__sp500_stockprice_momentum_7,counts__sp500_stockprice_roc_7,counts__sp500_stockprice_momentum_21,counts__sp500_stockprice_roc_21,scores__neg,scores__neu,scores__pos,scores__polarized,scores__anger,scores__disgust,scores__fear,scores__joy,scores__neutral,scores__sadness,scores__surprise,scores__Extroversion,scores__Neuroticism,scores__Agreeableness,scores__Conscientiousness,scores__Openness,scores__arts_culture,scores__business_entrepreneurs,scores__celebrity_pop_culture,scores__diaries_daily_life,scores__family,scores__fashion_style,scores__film_tv_video,scores__fitness_&_health,scores__food_&_dining,scores__gaming,scores__learning_educational,scores__music,scores__news_social_concern,scores__other_hobbies,scores__relationships,scores__science_technology,scores__sports,scores__travel_adventure,scores__youth_student_life,binary__no_tweets,binary__is_trading_day,date,sp500_change_volume
0.10526315789473684,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01560679007660358,0.007031162110473619,0.009207538531658196,0.014776551616185334,0.25665598837052794,0.2417168683374059,0.2194008418082471,0.018237824212884484,0.14028262534791813,0.3802734017634385,0.24242364676597306,0.20684010619913296,0.16113964517156387,0.11000291180447119,0.06461019629504938,0.1701970233076513,0.13316327654960824,0.7723743702788883,0.7631745294398012,0.5386051665164845,0.5016662241753302,0.16113964517156387,0.1337618232960036,0.2863964521817499,0.16012461514077705,0.3625644534140117,0.537479968867917,0.3167214104998541,0.3522627209880209,0.7747801791247324,0.05838323609688406,0.6069164664995517,0.531567155689735,0.663979859717626,0.5757644362302854,-0.3604585844903508,1.2624949853706628,-0.5727439073649295,-0.849763531440153,0.3052678085512901,-0.44544559116325755,-0.35149119792084293,-0.6177169536709034,1.4368044454284459,-0.5213716751887444,-0.5990787482603166,0.3500895906682186,0.3940233610672397,0.23556817454335785,-0.1508335065729488,0.37930925260921805,3.4951365997182116,-0.489906011701547,-0.2262348869378602,-0.6478428703892027,0.07255405837085588,-0.18693257560563617,0.671710163030254,-0.12641200352349755,-0.12524496411240685,-0.21104143352237836,0.885851047569139,-0.31004737720652437,0.5717882306564074,0.4223695807746521,-0.22327718780678354,-0.21753938135300233,-0.38646939302437455,-0.14730995098518457,0.05689118690574682,0.0,1.0,2018-03-14,2.11594054670321
0.05263157894736842,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00842850733032735,0.003487456406794915,0.004514861846045051,0.0030523597088518433,0.25557845121470724,0.25889200333180107,0.2193564912889891,0.01795281749793774,0.14354493685643333,0.40286574554865795,0.23830452538509417,0.20828627180996628,0.16114051468138357,0.10888737622868616,0.0654313125985313,0.1696770352460324,0.13345076007345846,0.7677038726418799,0.7658169698712672,0.5179973438608676,0.5861126322082291,0.16114051468138357,0.13376310684588,0.2863968669069421,0.15070318843916755,0.3421264451589169,0.5207072421737725,0.3289499117187634,0.352415821526453,0.6873499692696432,0.048096155153022846,0.5915609107985522,0.5166787753604195,0.6606062590304302,0.5722662856254338,0.6576114766180785,-0.03285575677373743,0.007189991266965236,0.08366230029544709,0.5194147463472583,0.8556407765333991,-0.2555626185852522,0.3828284731204499,-0.8036691295634935,0.21983169498073526,1.1219041282913833,0.696945203178161,0.45868747785349473,0.27645487324342866,0.24702331993619242,0.5010567472407481,-0.12190332154416789,-0.48942943140369344,-0.1921769252879474,1.7462735029286842,-0.07898754667909541,-0.15893750783068752,-0.30409102574322255,-0.07814062776498011,-0.13951302370135632,-0.15739611852585594,-0.28436383254597475,0.5892548244486747,-0.21585120731667026,1.6256537502601636,0.262902905429549,-0.6264144760735576,-0.12653704295092916,-0.3868235239726968,-0.17657741919449707,0.0,1.0,2018-03-15,4.391642093541859
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257924046234004,0.476107691368308,0.21951039623695112,0.016488315359777257,0.1647215049180284,0.6959381368429202,0.23467666830797307,0.20959542535703557,0.16127689340853024,0.10780856728423927,0.06628715328053625,0.16964978125056396,0.13392500096160753,0.7648810991897452,0.7672893398655473,0.5058654895910843,0.7453410854166574,0.16127689340853024,0.13398318222678496,0.2864466970564232,0.1382836021111338,0.3283015278225396,0.5005082723199485,0.32894991171876353,0.35255798631213997,0.6339054592998644,0.06385647488447788,0.5455363933267448,0.4729772074691538,0.6333196916579289,0.5441932650560133,-0.9066473761812468,-1.7839624368533085,-1.2456109873894123,-0.849763531440153,-0.497803985234941,-0.5002230434148355,-0.38037859650976025,-0.6628726220478796,-1.7629098592488028,-0.5830069217189977,-0.9354594267501727,-2.7807426223726717,-2.9587632797779255,-2.9355011875763686,-2.8169484533491516,-2.9097806071778898,-0.43315899350853154,-0.5764348792902494,-0.4098077950901962,-0.9434476163885369,-0.2773199327729218,-0.2070728792225223,-0.45936251061487654,-0.17767493162328102,-0.1672943252012856,-0.2561784649858161,-0.39395863339649645,-0.36696820187283347,-0.8069583645009558,-0.8066726123308339,-0.41868843168015796,-0.6593413559241079,-0.39442271223601005,-0.43696186507971757,-0.30157575693123123,1.0,1.0,2018-03-16,53.20497444768335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257924046234004,0.476107691368308,0.21951039623695112,0.014441347385425324,0.18589807297962346,0.6695858279660858,0.2314214688677103,0.2109769179558354,0.16141327213567713,0.10631401226923698,0.06708923399226219,0.1696267201774755,0.13436411289507855,0.7622801993116262,0.7678760826967036,0.4966828802891875,0.7183042219027916,0.16141327213567713,0.13420111867672624,0.2864982625933741,0.1382836021111338,0.3283015278225396,0.5005082723199485,0.32894991171876353,0.3526899964702779,0.6149315479550798,0.06385647488447788,0.5455363933267448,0.4729772074691538,0.6333196916579289,0.5441932650560133,-0.9066473761812468,-1.7839624368533085,-1.2456109873894123,-0.849763531440153,-0.497803985234941,-0.5002230434148355,-0.38037859650976025,-0.6628726220478796,-1.7629098592488028,-0.5830069217189977,-0.9354594267501727,-2.7807426223726717,-2.9587632797779255,-2.9355011875763686,-2.8169484533491516,-2.9097806071778898,-0.43315899350853154,-0.5764348792902494,-0.4098077950901962,-0.9434476163885369,-0.2773199327729218,-0.2070728792225223,-0.45936251061487654,-0.17767493162328102,-0.1672943252012856,-0.2561784649858161,-0.39395863339649645,-0.36696820187283347,-0.8069583645009558,-0.8066726123308339,-0.41868843168015796,-0.6593413559241079,-0.39442271223601005,-0.43696186507971757,-0.30157575693123123,1.0,0.0,2018-03-17,0.0
0.017543859649122806,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013386170234230357,0.00014062324220947238,0.00023708645275745852,0.0004278521301296601,0.257924046234004,0.476107691368308,0.21951039623695112,0.012831680350454016,0.20483012131599176,0.6473046182640159,0.2300253289816543,0.2116915052373296,0.1606143905486912,0.10481945725423447,0.06779006959720135,0.1696072069617851,0.13477069801866315,0.7598827718903919,0.7678005706320588,0.4898163023209125,0.7183042219027916,0.1606143905486912,0.13207749389478862,0.2868833953725134,0.1382836021111338,0.3283015278225396,0.5005082723199485,0.32894991171876353,0.3528125773314059,0.6006391309269472,0.06385647488447788,0.5455363933267448,0.4729772074691538,0.6333196916579289,0.5441932650560133,-0.8870801257036905,-1.6427071917510936,2.543413720896035,2.081671531553718,-0.31551442110944194,-0.4653009792344269,-0.36134907204346095,3.4441899794488324,-1.3097663274994416,-0.5365172993735047,-0.42619307928906697,0.5152408211832157,0.5335891965740104,0.06868702784635179,0.07519535287736417,0.5155924272888989,-0.27692530110534197,-0.5217538862428241,-0.33235390792162944,3.1560321719431035,-0.05287146039376787,-0.19500841362993623,-0.4132787161442034,-0.15878183245255525,-0.15027370683385965,-0.23939782038007748,-0.3405070409239587,-0.357728958710609,-0.6712967164869369,2.0980522699585875,0.5250328783988163,-0.6491626701020954,-0.37987981815655697,-0.4222630334191547,-0.2323937039313386,0.0,0.0,2018-03-18,0.0
0.017543859649122806,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002835283571592592,0.002249971875351558,0.001545149640384816,0.0031619315958362685,0.23833198325081928,0.23397838015942413,0.21374522365676235,0.017015879654313795,0.20079572466641948,0.3219247830539028,0.22618752682777465,0.20765551595035903,0.15970634659882998,0.1028415145595416,0.06821833806720679,0.16614323458626012,0.13340936509194945,0.7471648635490906,0.7648495338469893,0.4600014760090453,0.5455616513099695,0.15970634659882998,0.13170961156507555,0.28566122728247234,0.15071156151967433,0.30723106197701033,0.4697231548350145,0.3289499117187634,0.352926402416739,0.4546519467871447,0.05419714882296034,0.5074257963596855,0.4368214709319135,0.582932110120199,0.49382180416493554,0.10131382066431976,1.0797879013067544,-0.6965162333882998,-0.849763531440153,4.636962106034762,5.625280562975059,-0.04721346249599983,-0.6319362544229756,-1.6469194365961777,-0.4752368442820658,-0.8758455682101007,0.12066174405928046,0.3402695105945174,0.4972946220928013,0.2897671060017744,0.5556372110817317,-0.20036241270897792,-0.5629148098418467,-0.37802647442836246,-0.8397685701244474,0.12760296276312438,-0.19942157383737033,-0.4345393826393784,-0.1568571968744997,18.423393123490218,-0.23853373066538008,-0.3535921494555344,-0.3384365574229069,-0.7922331440583428,-0.6978298603010086,-0.3590178461321779,-0.6446985672359756,-0.37683915785489946,-0.3748600371652986,-0.2569312757440145,0.0,1.0,2018-03-19,-38.71110341601064
0.03508771929824561,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060817841437414795,0.0032624592192597593,0.003836304067463359,0.005155096397172002,0.2403468284481558,0.22765694430523536,0.16819676653131566,0.09940778057142183,0.19156053742294588,0.31984459168286195,0.22299739703471522,0.20383982161914949,0.1597963938840461,0.10115244274576285,0.06867463730575585,0.16356671749639085,0.1323275868314051,0.7380938204372479,0.7604269657553707,0.44474393014076935,0.4794049695392377,0.1597963938840461,0.13167529720793292,0.28583986415850027,0.13810881420066776,0.28699114385365027,0.44015151356799,0.3289499117187634,0.3530320971388342,0.32127453723042176,0.06369719206184576,0.5307274738364673,0.4585857949811806,0.610698577273773,0.5213097877119522,0.4569345926273986,0.3582011640020758,-0.2368074295350501,-0.849763531440153,-0.0051101651842649105,-0.2594342646257196,0.0829013783658413,-0.5262915206070211,0.9289579252536897,-0.16786359230454367,-0.1500786220009158,0.900848167305447,0.42938623867091186,0.28473043729795117,0.3062608832066384,0.662666441834921,-0.16696754950296344,-0.5686931718994248,-0.33914351216433347,-0.20095068431237662,0.4618913378893695,-0.1973893552947121,-0.41762137499666246,-0.13811365896124694,-0.14218547686981958,-0.24456934760184396,-0.33609201554388124,-0.34895768900597535,1.5663734681262549,-0.5485282717101169,-0.14572113325953176,-0.6523614507062877,-0.387268595840937,4.454312074717482,-0.1977509312613905,0.0,1.0,2018-03-20,-1.6490055477751842
0.03508771929824561,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007249140815881432,0.0031499606254921813,0.0066915607442062,0.0035532597636377867,0.23783579733589177,0.24634244970328306,0.1602486719845106,0.14123313691857772,0.18130176253184638,0.35346557161259995,0.21879008949549594,0.19974958138807564,0.16078840561957297,0.09978600072713006,0.06903680382370614,0.16094474126049318,0.13110321380191836,0.7295561554589165,0.7549484030334277,0.433794868821366,0.4348696710254355,0.16078840561957297,0.12984647629144552,0.28898490785530595,0.13432203319610783,0.33636604815026566,0.40338772191575833,0.21171650003442058,0.34127824875222246,0.17218200656235602,0.05372632540392075,0.542330141567783,0.4694290257372998,0.6286542386695835,0.5394614113210005,3.2700641771245103,-0.6796910521294769,-1.0626521057681413,1.3858203761586836,3.2195169474429526,4.905438775147027,-0.3319762295386186,-0.6496093210897251,-0.9250844648071646,-0.5165924398200307,-0.7897026617233879,0.6665484848753123,0.279137873682965,0.48291996090678274,0.9947403328803954,0.3642570316665801,-0.37119614328015166,3.038222354030287,1.1381065578004446,-0.5634523209041924,-0.158472800339231,-0.1899530147631754,-0.3357488244805703,-0.16118527120272105,-0.14665883019543346,-0.23910521539016288,-0.29592192964908554,-0.2292350049037387,-0.7681728844373953,-0.5016796520599025,0.2307834208210752,-0.06246647603590484,-0.3653426772649909,-0.40748746766424554,-0.22756765805810744,0.0,1.0,2018-03-21,4.956013432785644
0.19298245614035087,0.17307692307692307,0.07692307692307693,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.015904153772099312,0.009351445606929912,0.015557776537842882,0.009000547859434922,0.20363372057452356,0.2844392677871749,0.17774883286278942,0.14930937861194585,0.18010657929417007,0.4078229179213627,0.2074194569623995,0.1921143663951963,0.1594112858642054,0.09755863695766265,0.06889441821021447,0.15270787560291033,0.12693583766385474,0.7045377759437831,0.744879177021246,0.3861966591163476,0.2846411703874687,0.1594112858642054,0.13456567194926694,0.28284988883741913,0.15218049276338566,0.2734524440837647,0.6185494694452729,0.5142214584766732,0.3609464267083208,0.11909507373001221,0.04279552355758692,0.47145985640327515,0.4013746060739865,0.6060121017456463,0.5159645633246112,0.5789944298632403,0.20149833252537164,-0.16594066349167697,-0.011103892300476075,-0.15333129319462344,0.46200351540287315,-0.31947177997673354,-0.5921417995387716,1.040097791853282,0.07200176752685095,-0.5944323156295758,0.5802794047403338,0.27872137984074735,0.31253217814338086,0.28822829862724253,0.42902445659081706,-0.2804596791721013,-0.4797259925193855,-0.34379684263028687,-0.5019858251387451,-0.18160544636026746,1.1070547095263654,-0.42159845514249483,-0.13893963756377023,-0.0669508640873976,-0.22607097993368983,-0.24114936610282572,-0.2812672477087086,2.036376152117228,-0.5622287375630587,-0.29542023720905863,-0.5104296124925303,-0.3587509035220939,1.6780651838151708,-0.14966258907708416,0.0,1.0,2018-03-22,9.627399717012452
0.3508771929824561,0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.03918499288536942,0.05151029362132973,0.04797730510369467,0.021580444027027735,0.17585208153356335,0.29180333157065846,0.1485176102889152,0.1776583687595045,0.17951872662770196,0.4186603868701039,0.1902302038027992,0.1824121168486934,0.15642917115807387,0.09466845787564959,0.06837431688407625,0.14084970358172222,0.12061294644204978,0.6703355443454101,0.7290500415950727,0.32647514202054145,0.1858000734051498,0.15642917115807387,0.14575258679963388,0.26877960604356343,0.16951435130352135,0.2208606563504294,0.7421974182096144,0.679564790884995,0.39592551634787865,0.05268259092477244,0.031679167528227026,0.4070023365556421,0.339792256024224,0.5573044279155205,0.4658384449565632,1.330482310097619,0.41912600170435366,-0.859415071926101,-0.46372616551915086,0.37054164048130733,0.18490905026293275,-0.3043354760662711,-0.636120580053008,0.3776186599270596,-0.39341454158948397,1.2119555588398714,0.5024496193199487,0.41954608578271807,0.253450665425462,0.29835996006450444,0.40624653085131657,-0.2037531636332969,0.9584629332859365,-0.18801071704542344,0.060935981934644425,-0.10969186561466922,-0.13533512060265449,-0.3011500457312159,-0.13035172125432634,-0.12909372106456793,-0.20888490264828052,-0.13238347080795912,-0.2930982364888182,0.804826905415718,0.24253048252630527,-0.1049549008620329,-0.30612123578851325,-0.27505406932310894,-0.3696850983296207,-0.12236427050270819,0.0,1.0,2018-03-23,1.6975349625278249
