Date,sp500_stockprice,bitcoin_stockprice,nasdaq_stockprice,tesla_stockprice,sp500_volume,bitcoin_volume,nasdaq_volume,tesla_volume,sp500_volatility,bitcoin_volatility,nasdaq_volatility,tesla_volatility,is_trading_day,bitcoin_change_stockprice,sp500_change_stockprice,nasdaq_change_stockprice,tesla_change_stockprice,bitcoin_change_volume,sp500_change_volume,nasdaq_change_volume,tesla_change_volume,bitcoin_change_volatility,sp500_change_volatility,nasdaq_change_volatility,tesla_change_volatility,target_sp500_change_stockprice_next,sp500_stockprice_sma_5,sp500_stockprice_sma_10,sp500_stockprice_sma_20,sp500_stockprice_sma_50,sp500_stockprice_sma_100,sp500_stockprice_ema_12,sp500_stockprice_ema_26,sp500_stockprice_macd_line,sp500_stockprice_macd_signal,sp500_stockprice_macd_hist,sp500_stockprice_rsi_14,sp500_stockprice_bb_mean_20,sp500_stockprice_bb_upper_20,sp500_stockprice_bb_lower_20,sp500_atr_14,sp500_pdi_14,sp500_mdi_14,sp500_dx_14,sp500_adx_14,sp500_stoch_k_14,sp500_stoch_d_3,sp500_obv,sp500_stockprice_momentum_7,sp500_stockprice_roc_7,sp500_stockprice_momentum_21,sp500_stockprice_roc_21,sp500_mfi_14,sp500_volatility_std_10,sp500_avg_volume_20,sp500_volume_spike_20,bitcoin_volatility_std_10,bitcoin_avg_volume_20,bitcoin_volume_spike_20,nasdaq_volatility_std_10,nasdaq_avg_volume_20,nasdaq_volume_spike_20,tesla_volatility_std_10,tesla_avg_volume_20,tesla_volume_spike_20,sp500_to_bitcoin_ratio,sp500_bitcoin_corr_20,sp500_to_nasdaq_ratio,sp500_nasdaq_corr_20,sp500_to_tesla_ratio,sp500_tesla_corr_20,bitcoin_to_nasdaq_ratio,bitcoin_nasdaq_corr_20,bitcoin_to_tesla_ratio,bitcoin_tesla_corr_20,nasdaq_to_tesla_ratio,nasdaq_tesla_corr_20
2023-12-19,4768.3701171875,42270.52734375,15003.2197265625,257.2200012207031,4026970000.0,23171001281,5757180000.0,106737400.0,0.0057392719991026,0.0246152718882448,0.0075672300567949,0.024915101639868,True,-0.8282083715112631,0.5866407818910568,0.660257722755575,2.03903496997484,-8.141406828880616,-0.8218523571917657,-1.856435643564358,-8.314199447672799,-0.3522603291324477,0.4013273860545396,0.2983265882939401,0.4684034941422554,-1.4684266911006771,4733.3,4696.364990234375,4639.798461914063,4526.6759765625,4419.3448876953125,4690.553627675641,4627.380935856411,63.17269181922984,55.33465997781287,7.838031841416971,91.4167146638164,4639.798461914063,4779.847188020914,4499.749735807211,37.55652385534114,48.84756064869276,8.182726645308225,71.30392626947554,53.88491189700336,99.85605819204694,95.11756667264854,456991790000.0,124.669921875,2.684710826096093,213.47998046875,4.686830506575879,68.2311921691471,0.0004002974320584,4890482000.0,0.8234300831697162,0.0016030968206913,23916261934.85,0.9688387484682952,0.0003583279469349,6209067500.0,0.9272213581185904,0.0011324769088094,120556870.0,0.8853697014529326,0.1128060238853996,0.1227123732703901,0.3178231209095287,0.9948893064949116,18.53810004882196,0.8381157568364661,2.817430399217043,0.1640458904406551,164.33608250969766,0.2140099587031661,58.32835570857979,0.8593434832430885
2023-12-20,4698.35009765625,43652.25,14777.9404296875,247.13999938964844,4201320000.0,27868908174,6294700000.0,125097000.0,0.0065896661918316,0.0251390376224259,0.008216377090795,0.0261942079445396,True,3.268761340528425,-1.4684266911006771,-1.5015396760213684,-3.918825045959673,20.27494123377497,4.32955795548513,9.336515446798613,17.20071877336342,2.127808039492618,14.817109083904125,8.578396971256087,5.133859468688029,1.030146782120256,4729.13203125,4705.76298828125,4646.3259765625,4536.766982421875,4421.4537890625,4691.753084595734,4632.637910804548,59.11517379118686,56.09076274048768,3.024411050699186,70.09347768251381,4646.3259765625,4784.400811691606,4508.251141433394,40.60176796612034,41.95644090814094,15.103373013557755,47.06126089270597,53.39750825383927,62.56410727111266,86.00227561287669,452790470000.0,-8.73974609375,-0.185671962589673,147.77001953125,3.247278742365012,68.05250870810161,0.0003827587701379,4830583000.0,0.8697335290585008,0.0015973542638075,24403908212.2,1.1419854529721505,0.0003447875560845,6239899000.0,1.0087823536887377,0.0010083668615651,120194060.0,1.040791866087226,0.1076313385371029,0.0242466699506486,0.3179299659523396,0.9939663719492188,19.010884960992044,0.8371570265630873,2.953879142204871,0.0813152450631565,176.62964355347648,0.1818303969528196,59.79582611549719,0.8557529857274568
2023-12-21,4746.75,43869.15234375,14963.8701171875,254.5,3431180000.0,22452766169,5465640000.0,109594200.0,0.0067389719420844,0.0232636774354318,0.0083999818799438,0.0265999651746957,True,0.4968869731800662,1.030146782120256,1.2581569697390549,2.9780693649462897,-19.43435304743274,-18.330905524930262,-13.170762705132889,-12.392623324300343,-7.459952187354501,2.2657558957664303,2.234619797995263,1.5490341644047056,0.1660058526886887,4734.64404296875,4718.193994140625,4653.931982421875,4546.94478515625,4424.302290039062,4700.214148504083,4641.09065815236,59.123490351723376,56.697308262734815,2.426182088988561,79.41464592539307,4653.931982421875,4796.696128980474,4511.167835863275,41.29877477434389,38.302024940170256,13.787865636947709,47.06126089270597,52.94491915661546,84.6728068012325,82.36432408813069,456221650000.0,27.2001953125,0.576330295010008,178.9501953125,3.9176453208142,67.833815904024,0.0004112374000116,4782286000.0,0.7174769555814938,0.0016545196667251,24350907320.55,0.922050495837248,0.0003478692370725,6232831000.0,0.8769113104462483,0.0008196725013853,119615095.0,0.9162238260982029,0.1082024554020421,-0.0087446199646234,0.317214060455382,0.9940802341543103,18.651277013752456,0.8477216548428692,2.931671552893385,0.0491985265065875,172.37387954322202,0.1580881520501906,58.79713209111002,0.865653233128181
2023-12-22,4754.6298828125,43997.90234375,14992.9697265625,252.5399932861328,3046770000.0,21028503216,4796600000.0,93249800.0,0.0064291733926796,0.0221678602070833,0.0080633468476102,0.0241455870220321,True,0.2934864092908329,0.1660058526886887,0.194465797598542,-0.7701401626197146,-6.343374096000898,-11.203434387003885,-12.240835473979262,-14.913562944024406,-4.710421348430238,-4.597118849391224,-4.007568553658136,-9.22699761651743,0.0,4741.73203125,4729.286962890625,4661.931982421875,4555.681787109375,4427.174189453125,4708.585799936147,4649.500971090148,59.084828845999255,57.17481237938771,1.910016466611545,77.32650327047301,4661.931982421875,4808.582971940581,4515.280992903168,40.93242813867647,40.11270387811465,12.917605542464653,51.28217925331676,52.82615202066556,87.33618794978061,78.19103400737525,459268420000.0,35.43994140625,0.7509751005209564,160.0,3.482326195599006,67.37725238680994,0.0004160443948197,4714768500.0,0.6462183668190707,0.0017454930784214,24625630700.75,0.8539274982045254,0.0003343311772057,6192311000.0,0.7746057974155368,0.0009113602251004,118218910.0,0.7887892047050679,0.1080649219516235,-0.0531905471959715,0.3171239567294593,0.994310424913032,18.827235325952557,0.8494548465018918,2.93456887769209,0.0044432613636688,174.22152337629748,0.1042280284937466,59.36869456385535,0.8647939299576014
2023-12-23,4754.6298828125,43739.54296875,14992.9697265625,252.5399932861328,3046770000.0,13507796558,4796600000.0,93249800.0,0.0064291733926796,0.0222006925767016,0.0080633468476102,0.0241455870220321,True,-0.5872083923035065,0.0,0.0,0.0,-35.76434604379119,0.0,0.0,0.0,0.1481079784498185,0.0,0.0,0.0,0.0,4744.54599609375,4734.040966796875,4669.931982421875,4563.607587890625,4429.669487304687,4715.669504994048,4657.288297884396,58.38120710965177,57.416091325440526,0.9651157842112426,75.81609642823585,4669.931982421875,4818.567363615603,4521.296601228146,40.93242813867647,40.11270387811465,12.917605542464653,51.28217925331676,52.71586825156922,87.33618794978061,86.44839423359788,459268420000.0,35.43994140625,0.7509751005209564,160.0,3.482326195599006,67.37725238680994,0.0004018421106486,4647251000.0,0.6556069383814216,0.0015612320674714,24512535712.55,0.5510566804022743,0.0002907006000443,6151791000.0,0.7797078931972818,0.0009670583141072,116822725.0,0.7982162717056976,0.1087032364789334,-0.1533639766592198,0.3171239567294593,0.9944887798258936,18.827235325952557,0.8482920781547864,2.917336842964356,-0.0972698580149971,173.19847996983287,0.0030726878330547,59.36869456385535,0.8615994013212999
2023-12-24,4754.6298828125,43016.1171875,14992.9697265625,252.5399932861328,3046770000.0,18830554085,4796600000.0,93249800.0,0.0064291733926796,0.0225240242406999,0.0080633468476102,0.0241455870220321,True,-1.653939964043194,0.0,0.0,0.0,39.40507620280669,0.0,0.0,0.0,1.4564035012928134,0.0,0.0,0.0,0.0,4741.79794921875,4737.548974609375,4679.174487304687,4571.533388671875,4432.712587890625,4721.6634092738095,4664.498785656849,57.16462361696085,57.36579778374459,-0.201174166783737,75.81609642823585,4679.174487304687,4824.540853761918,4533.808120847457,40.93242813867647,40.11270387811465,12.917605542464653,51.28217925331676,52.61346189455119,87.33618794978061,87.33618794978061,459268420000.0,35.43994140625,0.7509751005209564,160.0,3.482326195599006,67.37725238680994,0.0003987918662354,4581094000.0,0.6650747616180763,0.0012466929779863,23461256925.45,0.8026234120718926,0.0002819828760587,6078120000.0,0.789158489796187,0.0008413869566866,116280225.0,0.801940312722993,0.1105313587948412,-0.237745413156918,0.3171239567294593,0.9950384032718016,18.827235325952557,0.8357721193690786,2.869085843032812,-0.1913232485789602,170.33388109249643,-0.0907205412030165,59.36869456385535,0.8450219949938924
2023-12-25,4754.6298828125,43613.140625,14992.9697265625,252.5399932861328,3046770000.0,21115795370,4796600000.0,93249800.0,0.0064291733926796,0.0225838798406532,0.0080633468476102,0.0241455870220321,True,1.3879063861056418,0.0,0.0,0.0,12.13581541299611,0.0,0.0,0.0,0.2657411451597369,0.0,0.0,0.0,0.4231689465510779,4753.05390625,4741.09296875,4688.54697265625,4579.459189453125,4435.755688476563,4726.735174433608,4671.175163223934,55.560011209674485,57.00464046893057,-1.4446292592560823,75.81609642823585,4688.54697265625,4827.5418446744725,4549.552100638027,40.93242813867647,40.11270387811465,12.917605542464653,51.28217925331676,52.518370277320166,86.240646444212,86.9710074479244,459268420000.0,14.06982421875,0.296796666318877,184.85009765625,4.045054824232186,67.37725238680994,0.0003894260199699,4537935000.0,0.6714000971807661,0.0011242720210421,22701438967.2,0.9301522868444152,0.0002794397340436,6008994000.0,0.7982367764055015,0.0008750355982238,114044160.0,0.8176639645554845,0.1090182870271682,-0.1170114074548637,0.3171239567294593,0.994376029547943,18.827235325952557,0.8212941400946516,2.908906068671117,-0.0618542046668807,172.6979559058808,0.0177418471099103,59.36869456385535,0.8306592459273124
2023-12-26,4774.75,42520.40234375,15074.5703125,256.6099853515625,2513910000.0,30026850982,6120600000.0,86892400.0,0.0059869759905132,0.023130496284443,0.0074266869175025,0.0240342864949606,True,-2.505525320099556,0.4231689465510779,0.5442589922190821,1.6116227819877649,42.20089963866703,-17.489341171141902,27.60288537714215,-6.817601753569447,2.420383245246671,-6.877982209500145,-7.895727942007191,-0.4609559791193707,0.1430457746478763,4758.65390625,4746.648974609375,4699.81748046875,4587.63458984375,4438.999990234375,4734.122070674592,4678.847373355495,55.27469731909696,56.65865183896385,-1.38395451986689,76.11144052503494,4699.81748046875,4827.369186296409,4572.2657746410905,39.98207797995492,41.06615893656432,13.224649325525114,51.28217925331676,52.43007091846278,92.95342545173446,88.84341994857567,461782330000.0,6.3798828125,0.1337958811020945,207.56982421875,4.544813566135342,63.825733733720575,0.0003753832902787,4451346500.0,0.5647527102192561,0.001125039661133,22707293437.0,1.32234390088399,0.0003218861638538,6056672500.0,1.010554888018132,0.000912838457337,112066970.0,0.7753613754347066,0.1122931519179717,-0.0576533649162683,0.3167420298567797,0.9932406457802476,18.60703118570568,0.8161375063378382,2.8206709353759565,0.0049595820054319,165.7004979190343,0.0532142050710056,58.74506516902465,0.8298630205260449
2023-12-27,4781.580078125,43442.85546875,15099.1796875,261.44000244140625,2748450000.0,25260941032,7480170000.0,106494400.0,0.0059562256489036,0.0232553821689748,0.0073677100670131,0.023225513658582,True,2.169436492022258,0.1430457746478763,0.163250921849456,1.882240507214284,-15.872160396896062,9.329689607026516,22.213018331536126,22.5589349586385,0.5399187418893447,-0.5136205934062277,-0.7941205970380616,-3.3650794524235472,0.0370174608043782,4764.0439453125,4752.88798828125,4709.6169921875,4595.69859375,4442.280493164062,4741.423302590039,4686.457203338421,54.96609925161829,56.320141321494745,-1.3540420698764564,74.78914872404806,4709.6169921875,4830.139005611971,4589.094978763029,38.304089151029565,39.00992294733193,12.509663985684888,51.43725045020518,52.3591551707301,95.815435107872,91.66983566793948,464530780000.0,83.22998046875,1.7714725113879617,232.240234375,5.104921644709792,61.29417799809796,0.000362659609361,4397825000.0,0.6249566547099987,0.0010894286843423,22588552455.05,1.1183072081430587,0.0003645557159643,6145965500.0,1.2170862332370724,0.0010383298733626,112034575.0,0.9505494174454628,0.1100659711828694,0.0177438631999225,0.3166781359707558,0.9927508968078046,18.2893973128563,0.8258488470337403,2.8771665989719017,0.0830295563066196,166.16759127550262,0.1245707630569918,57.75389973416183,0.8401662376057775
2023-12-28,4783.35009765625,42627.85546875,15095.1396484375,253.17999267578125,2698860000.0,22992093014,5090570000.0,113619900.0,0.0051191291781525,0.0235755086558162,0.006301829678855,0.0218244761908445,True,-1.876027694786908,0.0370174608043782,-0.0267566791449236,-3.1594284304201747,-8.9816448845903,-1.804289690552852,-31.94579802330696,6.690962153878521,1.3765694518171443,-14.054143010937848,-14.46691547934592,-6.032320698405147,-0.2826475013374963,4769.78798828125,4757.1669921875,4718.565991210938,4603.71,4445.6744921875,4747.873578754072,4693.634454769372,54.2391239847002,55.90393785413584,-1.6648138694356405,67.5901996102786,4718.565991210938,4832.587562710037,4604.544419711839,36.44807022729531,39.61816875615639,12.207635725481554,52.88973958983403,52.39705405780895,89.57927412385,92.78271156115214,467229640000.0,36.60009765625,0.7710559362985148,197.76025390625,4.312645933124393,56.4417986932552,0.0004871032920537,4347417500.0,0.6207961393171924,0.0009885746141597,22517101271.4,1.0210947109432469,0.0006158912107754,6128952000.0,0.8305775604051068,0.0013618125060452,112566565.0,1.00935744108386,0.1122118400059526,0.1467769240419973,0.3168801487802979,0.9923589754270472,18.893080954393348,0.8207834915360561,2.823945750853813,0.2077167685699731,168.36976341704312,0.2000686981139735,59.62216638408756,0.8318050618595407
