Date,sp500_close,bitcoin_close,nasdaq_close,tesla_close,sp500_volume,bitcoin_volume,nasdaq_volume,tesla_volume,sp500_volatility,bitcoin_volatility,nasdaq_volatility,tesla_volatility,sp500_high,sp500_low,bitcoin_high,bitcoin_low,nasdaq_high,nasdaq_low,tesla_high,tesla_low,is_trading_day,bitcoin_change_stockprice,sp500_change_stockprice,nasdaq_change_stockprice,tesla_change_stockprice,bitcoin_change_volume,sp500_change_volume,nasdaq_change_volume,tesla_change_volume,bitcoin_change_volatility,sp500_change_volatility,nasdaq_change_volatility,tesla_change_volatility
2014-09-17,2001.5699462890625,457.3340148925781,4562.18994140625,17.42533302307129,3209420000.0,21056800,1796710000.0,77665500.0,0.0,0.0,0.0,0.0,2010.739990234375,1993.2900390625,468.1740112304688,452.4219970703125,4582.39990234375,4539.35986328125,17.64666748046875,17.299999237060547,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-18,2011.3599853515625,424.4400024414063,4593.43017578125,17.58799934387207,3235340000.0,34483200,1774840000.0,55389000.0,0.0,0.0,0.0,0.0,2012.3399658203125,2003.0699462890625,456.8599853515625,413.10400390625,4593.97998046875,4572.6201171875,17.706666946411133,17.488000869750977,True,-7.192557601231164,0.48911800862372345,0.684764000978233,0.9335048035260529,63.762774970555824,0.8076225610857968,-1.2172248164701083,-28.682619696004018,,,,
2014-09-19,2010.4000244140625,394.7959899902344,4579.7900390625,17.288000106811523,4880220000.0,37919700,3178490000.0,102163500.0,0.0,0.0,0.0,0.0,2019.260009765625,2006.5899658203125,427.8349914550781,384.5320129394531,4610.56982421875,4563.43994140625,17.428667068481445,17.01799964904785,True,-6.984264508683835,-0.047726958102545236,-0.2969488203100834,-1.7057041633622205,9.965722438752778,50.84102443638072,79.08600211850083,84.44727292422682,,,,
2014-09-20,2010.4000244140625,408.9039916992188,4579.7900390625,17.288000106811523,4880220000.0,36863600,3178490000.0,102163500.0,0.0,0.0,0.0,0.0,,,423.2959899902344,389.8829956054688,,,,,True,3.573491642945359,0.0,0.0,0.0,-2.7850958736487907,0.0,0.0,0.0,,,,
2014-09-21,2010.4000244140625,398.8210144042969,4579.7900390625,17.288000106811523,4880220000.0,26580100,3178490000.0,102163500.0,0.0,0.0,0.0,0.0,,,412.4259948730469,393.1809997558594,,,,,True,-2.46585445473928,0.0,0.0,0.0,-27.896081771720617,0.0,0.0,0.0,,,,
2014-09-22,1994.2900390625,402.1520080566406,4527.68994140625,16.66866683959961,3349670000.0,24127600,1881520000.0,123211500.0,0.0,0.0,0.0,0.0,2009.0799560546875,1991.010009765625,406.9159851074219,397.1300048828125,4568.8701171875,4513.1201171875,17.06800079345703,16.31399917602539,True,0.8352101649706567,-0.8013323296818919,-1.1376088687881203,-3.582445993668726,-9.226827589060992,-31.36231563331161,-40.80459589301838,20.602269890910165,,,,
2014-09-23,1982.77001953125,435.7909851074219,4508.68994140625,16.694000244140625,3279350000.0,45099500,1847730000.0,84880500.0,0.0,0.0,0.0,0.0,1995.4100341796875,1982.77001953125,441.5570068359375,396.1969909667969,4536.02978515625,4508.419921875,16.920000076293945,16.333332061767578,True,8.364741783421215,-0.5776501564770165,-0.41964004262400323,0.15198218780658745,86.92078781146901,-2.0993112754390753,-1.7958884306305545,-31.10992074603426,,,,
2014-09-24,1998.300048828125,423.2049865722656,4555.22021484375,16.80933380126953,3313850000.0,30627700,1765260000.0,56242500.0,0.0,0.0,0.0,0.0,1999.7900390625,1978.6300048828125,436.1119995117188,421.1319885253906,4557.27001953125,4500.1298828125,16.856000900268555,16.46933364868164,True,-2.8880814347395978,0.783249148610099,1.0320131577508107,0.6908683086271461,-32.0886040865198,1.0520377513836499,-4.463314445292332,-33.73919804902186,,,,
2014-09-25,1965.989990234375,411.5740051269531,4466.75,16.463333129882812,3273050000.0,26814400,1939610000.0,72513000.0,0.0,0.0,0.0,0.0,1997.3199462890625,1965.989990234375,423.5199890136719,409.4679870605469,4546.93017578125,4466.64013671875,16.997333526611328,16.406667709350586,True,-2.7483091679796234,-1.6168772358634453,-1.9421720722844316,-2.058384201761687,-12.450494160514825,-1.2311963426226313,9.876732039472946,28.92919055874117,,,,
2014-09-26,1982.8499755859373,404.4249877929688,4512.18994140625,16.440000534057617,2929440000.0,21460800,1637480000.0,56931000.0,0.0,0.0,0.0,0.0,1986.3699951171875,1966.219970703125,414.93798828125,400.0090026855469,4515.75,4475.47998046875,16.648666381835938,16.404666900634766,True,-1.736994378879475,0.8575824615237426,1.0172931416857933,-0.14172461700872052,-19.965391729816815,-10.498159209300194,-15.576842767360443,-21.48856067187952,,,,
